,sentence1,sentence2,similarity_score,TFIDF_cosine_score,rank_by_TFIDF_cosine_score,rank_by_similarity_score,d,d^2
32,woman dance singe woman,woman dance singe rain,3.0,0.7621396467430328,4614,2985,1629,2653641
33,man slide,man slide onion,2.400000095367432,0.7018426863397846,4147,2271,1876,3519376
34,man pour oil pan,man pour oil skilled,4.199999809265137,0.6365461995146945,3687,4777,-1090,1188100
35,lion play people,lion play man,3.400000095367432,0.8311381220231143,5055,3520,1535,2356225
36,dog ride skateboard,dog ride skateboard,5.0,1.0,5623,5508,115,13225
37,carve statue,man carve statue,3.75,0.958111129837918,5567,3998,1569,2461761
38,woman slide onion,man cut onion,2.75,0.5073712990814749,2710,2542,168,28224
39,woman feel shrimp,woman peel shrimp,5.0,0.5912435652409789,3339,5512,-2173,4721929
40,woman try fish,woman cook fish,4.0,0.5633166724595595,3128,4539,-1411,1990921
41,woman play electric guitar,woman play guitar,3.5999999046325684,0.7389819774717699,4445,3948,497,247009
42,baby tiger play ball,baby play doll,1.600000023841858,0.4065364367229445,2043,1488,555,308025
43,person slide tomato,person slide meat,1.75,0.528140513916569,2846,1622,1224,1498176
44,person cut onion,person cut onion,5.0,0.9999999999999999,5590,5522,68,4624
45,man play piano,woman play violin,1.0,0.22774738976892941,1079,993,86,7396
46,woman play flute,man play guitar,1.0,0.24651510829677986,1154,995,159,25281
47,man cut potato,man cut carrot,2.375,0.4468911325200539,2292,2172,120,14400
48,kid play guitar,boy play guitar,3.799999952316284,0.6091708816132378,3477,4164,-687,471969
49,boy play guitar,man play guitar,3.200000047683716,0.7737663050518497,4679,3208,1471,2163841
50,man play guitar,boy play guitar,3.200000047683716,0.7737663050518497,4678,3204,1474,2172676
51,little boy play keyboard,boy play key board,4.400000095367432,0.34134545620568335,1663,5022,-3359,11282881
52,man play guitar,man play electric guitar,3.75,0.7335578147789306,4408,4025,383,146689
53,dog lick baby,dog lick baby,4.75,1.0,5616,5338,278,77284
54,woman slide onion,man cut onion,3.200000047683716,0.5073712990814749,2711,3137,-426,181476
55,man play guitar,man play drum,1.555999994277954,0.37638370949130484,1858,1455,403,162409
56,woman slide pepper,woman cut red pepper,3.937999963760376,0.609892783457472,3486,4342,-856,732736
57,man play drum,man play drum,5.0,1.0,5613,5528,85,7225
58,woman ride horse,woman ride horse,5.0,1.0000000000000002,5736,5529,207,42849
59,man eat banana tree,man eat banana,4.0,0.8636368088293156,5240,4659,581,337561
60,cat play key board,man play keyboard,1.600000023841858,0.18935766786225194,944,1485,-541,292681
61,man crop tree axe,man cut tree axe,4.75,0.7298672057311493,4363,5332,-969,938961
62,kid play toy phone,little boy play toy phone,3.5,0.6554777496503675,3824,3736,88,7744
63,man ride motorcycle,man ride horse,1.399999976158142,0.5163726245454154,2768,1343,1425,2030625
64,man ride motorcycle,man ride horse,1.399999976158142,0.5163726245454154,2767,1342,1425,2030625
65,squirrel spin circle,squirrel run circle,4.0,0.7602703336838017,4607,4406,201,40401
66,man woman kiss,man woman kiss,5.0,1.0,5610,5514,96,9216
67,man get car,man get car garage,3.8329999446868896,0.6336810799504885,3660,4331,-671,450241
68,man dance,man talk,0.6000000238418579,0.2838458347902844,1347,635,712,506944
69,man play guitar singing,man play guitar,2.9170000553131104,0.7335578147789306,4409,2755,1654,2735716
70,person cut mushroom,person cut mushroom knife,4.199999809265137,0.8533320479541702,5182,4766,416,173056
71,tiger cub make sound,tiger walk,2.0,0.38312900106133985,1900,1844,56,3136
72,person slide onion,person peel onion,2.5999999046325684,0.6355473403861672,3679,2451,1228,1507984
73,man play piano,man play trumpet,1.600000023841858,0.3533479204421621,1726,1483,243,59049
74,woman peel potato,woman peel apple,2.0,0.5718088064221803,3193,1822,1371,1879641
75,canada eat bamboo,bear eat bamboo,4.199999809265137,0.6835381785964192,4013,4740,-727,528529
76,person peel onion,person peel eggplant,2.0,0.5614793606706925,3109,1827,1282,1643524
77,monkey push monkey,monkey push monkey,4.800000190734863,1.0000000000000002,5741,5356,385,148225
78,squirrel run circle,squirrel move circle,4.400000095367432,0.9303186197989152,5513,5083,430,184900
79,man tie shoe,man tie shoe,5.0,1.0,5626,5688,-62,3844
80,boy singe play piano,boy play piano,3.0,0.8262464576977402,5019,3000,2019,4076361
81,dog eat water melon,dog eat piece watermelon,4.25,0.3148695177766041,1508,4938,-3430,11764900
82,woman chop broccoli,woman chop broccoli knife,4.25,0.8600404626425364,5221,4941,280,78400
83,man peel potato,man peel potato,3.799999952316284,1.0,5628,4187,1441,2076481
84,woman play guitar,man play guitar,2.400000095367432,0.8250188422281313,5014,2215,2799,7834401
85,woman slide tomato,man slide onion,1.600000023841858,0.331285030176284,1605,1482,123,15129
86,man swim underwater,woman swim underwater,2.0,0.900356697351607,5413,1919,3494,12208036
87,man woman talk,man woman eat,1.600000023841858,0.46175085327400767,2382,1480,902,813604
88,small dog chase ball,dog chase ball,4.0,0.8846485629672008,5344,4398,946,894916
89,man play cricket,man play basketball,2.200000047683716,0.33460827050777064,1624,2042,-418,174724
90,man ride motorcycle,man ride motorcycle,4.400000095367432,1.0000000000000002,5728,5106,622,386884
91,man play guitar,man singe play guitar,3.5999999046325684,0.7885309020416359,4786,3888,898,806404
92,man talk telephone,man talk phone,3.5999999046325684,0.42010868013215275,2125,3901,-1776,3154176
93,man fish,man exercise,0.5,0.19317779176833474,960,594,366,133956
94,man hesitate,man talk,0.800000011920929,0.20437820466675663,997,777,220,48400
95,boy drive,day dance,0.6000000238418579,0.0,396,627,-231,53361
96,man ride horse,girl ride horse,2.5999999046325684,0.7694283041275687,4652,2413,2239,5013121
97,man ride bicycle,monkey ride bike,2.0,0.28529389808923905,1353,1897,-544,295936
98,man slide potato,woman peel potato,2.200000047683716,0.46470513553185483,2400,2110,290,84100
99,woman peel potato,man slide potato,2.400000095367432,0.46470513553185483,2402,2183,219,47961
100,man play guitar,play guitar,3.5999999046325684,0.915641816349068,5467,3896,1571,2468041
101,woman slide week,woman slide ginger,2.200000047683716,0.46624982032857953,2416,1997,419,175561
102,man cut paper plate,man cut paper plate,4.800000190734863,1.0,5605,5385,220,48400
103,man play guitar,man play flute,1.6430000066757202,0.39540143452390986,1971,1594,377,142129
104,man play piano,man play violin,1.75,0.36514572252001776,1780,1607,173,29929
105,woman slide meat,woman read meat,2.25,0.5858914345214024,3291,2154,1137,1292769
106,man play keyboard,man play keyboard piano,4.0,0.7935120546128404,4822,4685,137,18769
107,lady chop green onion,lady cut green onion,4.800000190734863,0.7682301172993715,4646,5379,-733,537289
108,sit nodule water,woman boil nodule water,3.200000047683716,0.6490509880608477,3774,3259,515,265225
109,iogel fichte dance ceiling,iogel ritchie dance stand ceiling,4.0,0.6312162979552884,3644,4562,-918,842724
110,man play piano,person play piano,4.400000095367432,0.7952921212904781,4831,4999,-168,28224
111,woman play flute,woman play flute,4.599999904632568,1.0,5643,5152,491,241081
112,boy check callender,boy look calendar,3.799999952316284,0.15215639780229856,792,4066,-3274,10719076
113,woman cut onion,woman chop onion,4.800000190734863,0.6079049399039181,3467,5373,-1906,3632836
114,man play guitar,man play guitar,4.85699987411499,0.9999999999999998,5588,5480,108,11664
115,woman sewing machine,woman sewing machine,5.0,1.0,5688,5673,15,225
116,woman slip pancake,cartoon chef slip pancake,2.532999992370605,0.663261451965101,3876,2366,1510,2280100
117,man run road,car drive road,1.0,0.43018251993298745,2184,1068,1116,1245456
118,man ride horse,man talk phone,1.0,0.157414312691758,808,1074,-266,70756
119,man ride bike,man ride horse,2.0,0.5277539550230118,2843,1802,1041,1083681
120,woman dance,man eat,0.1430000066757202,0.0,331,370,-39,1521
121,man play piano,man play flute,2.0,0.3712017048179364,1815,1798,17,289
122,man play flute,man play piano,1.600000023841858,0.3712017048179364,1816,1474,342,116964
123,man spin,man dance,1.600000023841858,0.190338755341476,948,1481,-533,284089
124,monkey swinge limb limb,monkey swinge tree tree,3.400000095367432,0.35503825422183416,1733,3539,-1806,3261636
125,people get train,people get train station,4.0,0.7580438991609824,4583,4550,33,1089
126,dog jump trampling,dog ounce trampling,4.800000190734863,0.6210537749172809,3569,5392,-1823,3323329
127,boy play instrument,man play trumpet,2.5,0.2018211599238834,992,2353,-1361,1852321
128,woman play guitar,man sing play guitar,1.75,0.6129002179279245,3514,1609,1905,3629025
129,woman pick,woman slide tomato,1.0,0.18669425000604664,935,983,-48,2304
130,man climb rope,man limb rope,5.0,0.5412251178195635,2963,5730,-2767,7656289
131,man lift car,man climb wall,1.399999976158142,0.11802712956536304,637,1333,-696,484416
132,man woman drive street deep,man woman drive road open air vehicle,4.0,0.33848091941844116,1648,4345,-2697,7273809
133,shortness man sit chair,shortness man sit chair,3.799999952316284,1.0,5686,4267,1419,2013561
134,woman wrest,woman wrest floor,4.0,0.8169582472743965,4968,4465,503,253009
135,puppy play blue tennis ball,puppy play tennis ball,4.0,0.9177173919559896,5475,4426,1049,1100401
136,kangroo eat,kangaroo eat,4.800000190734863,0.3288677196493854,1589,5365,-3776,14258176
137,cat play piano,man play guitar,0.6000000238418579,0.2360486553335915,1109,725,384,147456
138,man cut carpet knife,man cut carpet knife,4.75,1.0,5682,5341,341,116281
139,woman ride motorize soon road,man ride motor soon,2.200000047683716,0.4432898084121011,2269,2009,260,67600
140,slide vegetable,slide tomato,3.0,0.3586444232099306,1746,3067,-1321,1745041
141,woman dance,man talk,0.0,0.0,323,318,5,25
142,dog lick baby droop,dog lick baby,2.200000047683716,0.751984295676263,4541,2048,2493,6215049
143,man row boat,man slide tomato,0.4000000059604645,0.11409935855207204,616,478,138,19044
144,man cut potato,man slice potato,4.800000190734863,0.59460751910208,3370,5407,-2037,4149369
145,woman chop garlic,woman dine garlic,4.800000190734863,0.5634157994274208,3130,5422,-2292,5253264
146,animal run circle,squirrel run circle,3.799999952316284,0.6009374793856692,3410,4300,-890,792100
147,man walk slowly rope bridge,boy walk bridge,3.0,0.5522639934754083,3050,2929,121,14641
148,man play guitar,man seat room play guitar,4.0,0.6876946716523136,4049,4361,-312,97344
149,man play flute,man play flute,5.0,1.0,5677,5727,-50,2500
150,woman crack egg glass bowl,woman crack egg bowl,3.799999952316284,0.8685162308235267,5257,4240,1017,1034289
151,man cut fish,man gun fish,3.0,0.5908480266337671,3333,2950,383,146689
152,man pack suitcase trunk car,man put suitcase car trunk,4.400000095367432,0.8567016963414134,5201,4991,210,44100
153,man hour oil tomato,man pour oil cut potato,3.799999952316284,0.3059385275109881,1460,4324,-2864,8202496
154,man slide,man slide,3.0,1.0000000000000002,5724,3015,2709,7338681
155,man waddle canoe,man play harp,0.6669999957084656,0.09072106684999481,487,729,-242,58564
156,man woman walk wood,man woman walk arm arm wooded area,4.0,0.3095290920121826,1479,4581,-3102,9622404
157,woman pick kangaroo,woman pick baby kangaroo,3.75,0.8755810977134757,5306,4050,1256,1577536
158,wish swim,fish swim,4.132999897003174,0.43971376595007045,2246,4703,-2457,6036849
159,woman mix food processor,woman slender,4.0,0.10852826775386007,580,4663,-4083,16670889
160,person surge large wave,person surge,3.5999999046325684,0.7340751703135624,4413,3784,629,395641
161,man play guitar,man stab target,1.2000000476837158,0.11950017708302403,645,1209,-564,318096
162,man play flute band,man play guitar,1.600000023841858,0.30694251508041265,1465,1498,-33,1089
163,man spread butter loaf bread,man spread butter bread,4.0,0.8302802449292813,5051,4383,668,446224
164,person boil nodule,woman boil nodule water,4.0,0.7999947644794074,4864,4379,485,235225
165,group people dance hill,group people dance,3.200000047683716,0.7984131723331278,4855,3178,1677,2812329
166,man dance outside,man play flute,1.0,0.13474974615848614,720,1029,-309,95481
167,woman feed man,woman mix meat,1.0,0.14889943880309417,777,1030,-253,64009
168,man put pan oven,woman cut onion,0.6000000238418579,0.0,339,706,-367,134689
169,woman sit desk,woman ride donkey,0.4000000059604645,0.13133856362428298,705,467,238,56644
170,relics transport patient stretcher,doctor rush patient stretcher,3.400000095367432,0.549752200218343,3030,3560,-530,280900
171,woman play flute stage,woman play flute,3.5999999046325684,0.8300661818056854,5049,3761,1288,1658944
172,baby hand play,hand lay,3.0,0.43934877520087195,2242,2861,-619,383161
173,baby laugh,baby laugh tingling,4.0,0.7232770517966178,4314,4626,-312,97344
174,man play guitar,boy play piano,1.2000000476837158,0.24226884800815313,1135,1208,-73,5329
175,man fold paper,woman slide pepper,0.6000000238418579,0.0,365,704,-339,114921
176,woman dance,man dance,1.600000023841858,0.730125145259356,4367,1497,2870,8236900
177,cat play,cat fight,2.5999999046325684,0.4967933238567932,2640,2471,169,28561
178,person write,person write pencil,3.5999999046325684,0.7317798450536008,4387,3777,610,372100
179,man run,man run road,3.5,0.688519477518611,4056,3705,351,123201
180,woman roll dough,woman floor rolling dough,3.765000104904175,0.4621718156286587,2384,4058,-1674,2802276
181,woman add space meat,woman add sugar meat,2.75,0.6172794036724024,3548,2564,984,968256
182,woman add oil fish,woman pour water fish,2.25,0.4307410732419895,2186,2145,41,1681
183,young boy hold guitar,little boy play guitar,2.75,0.5407994132852345,2959,2545,414,171396
184,cheetah run,cheetah run field,3.799999952316284,0.8688689448845074,5261,4086,1175,1380625
185,man eat penza,man eat slice penza,4.800000190734863,0.8236380534286465,5004,5436,-432,186624
186,orangutan ride bus,monkey ride bus,3.5999999046325684,0.4918630407360627,2597,3807,-1210,1464100
187,man woman talk dinner,man woman ride bicycle,1.2000000476837158,0.26127420992241407,1233,1207,26,676
188,man play guitar,man clean glass door,0.4000000059604645,0.1084879380202292,579,570,9,81
189,girl singe play guitar,young man singe play guitar,2.400000095367432,0.7697664976945233,4654,2173,2481,6155361
190,girl communicate sign language,young girl sign language,3.940999984741211,0.7127645790431784,4240,4343,-103,10609
191,woman weight exercise,woman hair,0.5,0.1567118218940382,802,615,187,34969
192,man get inside car,elderly man get red car,3.75,0.4002228184367259,2007,4005,-1998,3992004
193,big green ball knock potato,large green ball hit potato,4.0,0.5817829155050742,3257,4653,-1396,1948816
194,cat play keyboard,cat play piano,3.0,0.4867124344784941,2554,3005,-451,203401
195,dog swim pool,dog swim pool,4.199999809265137,1.0000000000000002,5740,4864,876,767376
196,man copper chop onion,man machine chop potato,2.0,0.3514795836496388,1721,1932,-211,44521
197,woman slice,woman cut,5.0,0.2677495276735819,1272,5605,-4333,18774889
198,herd deer cross street,herd carbon cross road,3.0,0.5285323231356029,2847,3054,-207,42849
199,person ride horse,man ride horse,3.799999952316284,0.7620945771138466,4613,4190,423,178929
200,feed animal,play piano,0.0,0.0,356,277,79,6241
201,slide tortila,ride horse,0.0,0.0,354,276,78,6084
202,mix ingredient,sew thing,0.25,0.0,353,442,-89,7921
203,monster neck dead mouse,chicken pack dead mouse,4.0,0.4276506671394814,2166,4397,-2231,4977361
204,woman hold kangaroo,woman pick kangaroo,3.25,0.6916169488651371,4080,3373,707,499849
205,man play frog,cat play camera,0.75,0.22179534135053647,1054,734,320,102400
206,man talk,man play guitar,1.5,0.22751668979342674,1073,1448,-375,140625
207,man spread butter big piece bread,man smear butter slice garlic bread,3.5,0.43703436359328746,2228,3731,-1503,2259009
208,man run high wire,man run rope,3.0,0.3409824197129895,1661,3053,-1392,1937664
209,man mow lawn,woman cut lemon,0.2000000029802322,0.0,349,399,-50,2500
210,man open door,man play guitar,0.800000011920929,0.1490672308759759,778,830,-52,2704
211,man slide potato piece,man cut potato,4.199999809265137,0.5410854512718314,2961,4823,-1862,3467044
212,woman cut cook octopus,woman chop octopus,3.799999952316284,0.5602093622208312,3098,4189,-1091,1190281
213,man munch board,dog run water,0.4000000059604645,0.0,347,527,-180,32400
214,man dance,man eat bread,0.800000011920929,0.16949222237968503,867,799,68,4624
215,play piano,man play guitar,1.2000000476837158,0.2809630326210814,1333,1204,129,16641
216,fox eat plate brick ratio,box eat plate,2.799999952316284,0.4396096004405097,2244,2700,-456,207936
217,boy play key board,boy play piano,3.200000047683716,0.40600788166089574,2042,3230,-1188,1411344
218,person play keyboard,play keyboard,5.0,0.8642018925104142,5244,5575,-331,109561
219,man shoot gun,man spit,0.0,0.12688931762447142,687,304,383,146689
220,slide onion,peel potato,1.0,0.0,344,902,-558,311364
221,man swim,woman slide meat,0.0,0.0,343,303,40,1600
222,man play guitar,man play caustic guitar,3.75,0.705214501733342,4175,4055,120,14400
223,woman slide pushkin,woman ride elephant,0.4000000059604645,0.11877713169387154,640,540,100,10000
224,woman dance,woman knead dough,0.4000000059604645,0.1574109195101718,807,541,266,70756
225,woman crack egg bowl,woman place skewer rack,0.6000000238418579,0.07668986460378609,442,681,-239,57121
226,car move road,car drive road,4.0,0.7978098259007933,4852,4686,166,27556
227,dress pan,lay,0.4000000059604645,0.0,341,564,-223,49729
228,man play guitar,man drain past,0.4000000059604645,0.12139544600272399,653,563,90,8100
229,woman drink vodka,woman exercise,0.4000000059604645,0.13731155291734096,728,559,169,28561
230,woman cut meat piece,woman cut meat,4.800000190734863,0.8228183521976562,5000,5415,-415,172225
231,man rinse speak,man play guitar,0.6000000238418579,0.12263343894909103,666,663,3,9
232,man sell item,man clean house,0.800000011920929,0.10632760815038501,563,823,-260,67600
233,man jump wall,man jump short wall,3.200000047683716,0.7990000938239603,4857,3260,1597,2550409
234,runner race track,runner compete race,3.200000047683716,0.7001485206072291,4129,3263,866,749956
235,man kick soccer ball,man mix bowl,0.6000000238418579,0.09597827311076192,509,676,-167,27889
236,woman try,woman ride horse,0.6000000238418579,0.23571561341183953,1107,672,435,189225
237,cat lick suck,woman slide cucumber,0.0,0.0,327,292,35,1225
238,woman dance fire,woman take bath,1.399999976158142,0.20966712730864145,1014,1346,-332,110224
239,man slide fish open,man slide potato,2.200000047683716,0.42461558941200533,2153,1985,168,28224
240,utter melt pan,man melt butter pan,3.5999999046325684,0.6289356738583152,3621,3806,-185,34225
241,boy dance,lid dance,3.111000061035156,0.4357370123036714,2220,3076,-856,732736
242,woman play game man,man play piano,0.6000000238418579,0.3668196461760551,1794,697,1097,1203409
243,man drive white car,man give interview,0.4000000059604645,0.1378626679244756,731,557,174,30276
244,man drive car,man drive car,4.25,1.0,5664,4909,755,570025
245,car back space,car back blocked lane,3.0,0.26015427093914006,1230,2854,-1624,2637376
246,man put cheese penza,man sprinkle cheese penza,5.0,0.7765263700702937,4699,5654,-955,912025
247,boy play piano,boy play piano,5.0,1.0,5665,5647,18,324
248,man play guitar,man play guitar,3.75,0.9999999999999998,5587,4038,1549,2399401
249,man ride horse,man play keyboard,0.2000000029802322,0.15146529599822048,790,379,411,168921
250,man walk rope,man ride mo pad,0.4000000059604645,0.08890529529590845,478,534,-56,3136
251,girl play flute,band play stage,1.2860000133514404,0.18219964197537653,920,1260,-340,115600
252,people step train,group people train,4.599999904632568,0.5888475312181833,3313,5161,-1848,3415104
253,woman sewing machine,woman read meat,0.6000000238418579,0.10894544100533922,583,722,-139,19321
254,dog look swimming pool,dog walk pool,2.0,0.5191142139783153,2789,1874,915,837225
255,man mutter piece bread,man apply butter bread,5.0,0.3662847637363691,1790,5630,-3840,14745600
256,man cut potato piece,woman cut vegetable,1.7999999523162842,0.2575234210828953,1213,1670,-457,208849
257,teenage girl dance room,teenage girl dance camera,2.400000095367432,0.774963979037466,4685,2265,2420,5856400
258,lion walk,lion pace pen,2.400000095367432,0.46005297732732575,2370,2293,77,5929
259,man shoot car,man cut potato,0.4000000059604645,0.14320704369268805,751,460,291,84681
260,black horse run,horse run,4.199999809265137,0.8461729527074313,5140,4771,369,136161
261,woman evening shrimp,man dance rain,0.0,0.0,314,355,-41,1681
262,man ride horse,woman wash freeze,0.0,0.0,315,352,-37,1369
263,man walk path,man walk tight rope,0.800000011920929,0.3305458823242938,1598,751,847,717409
264,man slide potato,woman cut jalepeno,1.399999976158142,0.0,316,1371,-1055,1113025
265,dog bark ball,dog swim tennis ball,1.5,0.381419689470173,1890,1432,458,209764
266,kid run away fish swinge fishing pole,little kid run fishing pole,2.5,0.6933317907093202,4089,2356,1733,3003289
267,man walk path wilderness,man walk road,2.5,0.33768502630586894,1643,2331,-688,473344
268,elderly man speak sodium,man make speech sodium,3.5,0.4716744992847046,2457,3735,-1278,1633284
269,man ride horse slow motion,man ride horse,3.400000095367432,0.6035354329557243,3431,3511,-80,6400
270,person cut bursata cheese,person slide cheese,3.799999952316284,0.5563166720160834,3078,4166,-1088,1183744
271,man shoot automatic rifle,man shoot gun,3.799999952316284,0.3755203947613888,1852,4163,-2311,5340721
272,man crush garlic knife,woman slide meat knife,1.5,0.2755289047639459,1310,1441,-131,17161
273,woman file fingernail board,woman feed baby bottle,0.5,0.08280443082627524,454,610,-156,24336
274,man ride skateboard,woman cut potato,0.0,0.0,326,269,57,3249
275,woman take shower,man ride white horse,0.0,0.0,368,134,234,54756
276,man dance,man ride horse,0.800000011920929,0.2055444287847605,1006,770,236,55696
277,man row boat,man shoot gun,0.8500000238418579,0.116544294949056,629,887,-258,66564
278,man swinge rope attach ceiling,man swinge rope,3.400000095367432,0.6882340022321702,4052,3538,514,264196
279,woman ride horse beach,man carry man,0.4000000059604645,0.0,334,477,-143,20449
280,man hold small animal hand,man show small monkey,1.75,0.3652474741954493,1781,1621,160,25600
281,person fold square paper piece,man fold paper,3.25,0.6368509768288775,3691,3346,345,119025
282,person try meat pan,person hold sunk,0.75,0.17486116723227194,893,743,150,22500
283,chimpanzee hurt woman,man drive car,0.0,0.0,369,97,272,73984
284,woman peel shrimp,man hold femur,0.0,0.0,406,96,310,96100
285,debris play,debris socialize,4.25,0.5949392270277511,3374,4915,-1541,2374681
286,woman slide butter,woman slice,1.7999999523162842,0.17416080111543647,888,1724,-836,698896
287,man play guitar,man play guitar singe,3.200000047683716,0.7885309020416359,4785,3179,1606,2579236
288,elephant spray water,elephant spray water,3.5999999046325684,1.0000000000000002,5717,3757,1960,3841600
289,dog sit counter store,dog stand counter,2.5999999046325684,0.6365466910114776,3688,2423,1265,1600225
290,drill hole strip wood power drill,man drill hole piece wood,3.200000047683716,0.729227036067075,4359,3094,1265,1600225
291,woman slide vegetable,woman dine garlic,2.799999952316284,0.12224611553433641,659,2725,-2066,4268356
292,badge burrow hole,badge dig earth,4.599999904632568,0.34508941981094926,1686,5273,-3587,12866569
293,woman water skin lake,man play flute,0.0,0.0,395,91,304,92416
294,girl play violin,baby laugh tingling,0.25,0.0,377,447,-70,4900
295,helicopter land helped,helicopter land,3.92300009727478,0.7177140629416223,4279,4338,-59,3481
296,woman cut chicken,woman slide meat,2.75,0.14019395151296535,737,2541,-1804,3254416
297,woman cut cucumber,man play guitar,0.0,0.0,378,90,288,82944
298,woman ride elephant adoring crowd,woman ride elephant,3.0,0.6607327791495636,3857,3024,833,693889
299,puppy slide backwards floor,puppy push backwards,3.799999952316284,0.6949560323529704,4099,4150,-51,2601
300,woman splint garlic glove,woman break head garlic glove,4.599999904632568,0.637109419808537,3693,5304,-1611,2595321
301,dog look swimming pool,dog walk edge pool,2.5999999046325684,0.4089585745326655,2058,2512,-454,206116
302,woman mile beauty treatment glass,woman mix cream glass spoon,3.5999999046325684,0.24552825570424963,1149,3747,-2598,6749604
303,man draw picture,person draw,3.5999999046325684,0.5748619250960577,3211,3750,-539,290521
304,woman pick potato,woman pour matter bowl,1.0,0.11248469294226286,613,943,-330,108900
305,man look computer monitor,man lawton,2.75,0.1158596077397169,626,2554,-1928,3717184
306,boy ride trickle,woman ride water soon,1.25,0.21174043142085677,1019,1251,-232,53824
307,man compete tire roll race,people slip traitor tire race,2.75,0.41801179142797873,2115,2558,-443,196249
308,person cut meat,person ride mechanical bull,0.0,0.18233999536799325,922,89,833,693889
309,man play violin,woman sewing machine,0.0,0.0,309,88,221,48841
310,baby crawl doorway,baby crawl floor,2.400000095367432,0.6164777850057652,3538,2266,1272,1617984
311,man play keyboard,person play piano,2.200000047683716,0.2218280159874754,1055,2041,-986,972196
312,man smell pizza,woman feed man,0.2000000029802322,0.09848559721158169,523,425,98,9604
313,monkey pull tail dog,monkey tease dog,2.799999952316284,0.39334230152046434,1957,2660,-703,494209
314,dog lie wooden floor,dog lay floor,4.0,0.4953234159106958,2630,4610,-1980,3920400
315,woman try pan,man play guitar,0.0,0.0,98,87,11,121
316,man put reasoning bowl water,man add reasoning water bowl,5.0,0.8880125901117095,5356,5626,-270,72900
317,elderly woman pour oil try pan,tied man put water,0.0,0.0,99,86,13,169
318,woman chop onion,woman slide partially half onion,3.200000047683716,0.39320900308728357,1955,3086,-1131,1279161
319,woman pick kangaroo,woman carry kangaroo,3.5,0.6604550006039354,3854,3690,164,26896
320,dog bite,dog open food,1.75,0.20421786165514288,996,1610,-614,376996
321,woman define fish,man catch fish,1.25,0.3755185634207531,1851,1246,605,366025
322,man mow grass,man burst concrete,0.8330000042915344,0.09154144302125948,492,886,-394,155236
323,cat watch,man slide leave,0.0,0.0,101,82,19,361
324,boy stick door hothouse,child stick dog house,3.75,0.26756512765038176,1270,3999,-2729,7447441
325,people lip swimming pool,man fall pool,2.75,0.3227213732625294,1554,2546,-992,984064
