,sentence1,sentence2,similarity_score
25,"['boy', 'fall', 'bike']","['boy', 'fall', 'bike']",4.800000190734863
26,"['woman', 'play', 'flute']","['woman', 'play', 'flute']",5.0
27,"['rabbit', 'run', 'eagle']","['hare', 'run', 'eagle']",4.199999809265137
28,"['woman', 'try', 'dreaded', 'pork', 'chop']","['woman', 'cook', 'dreaded', 'pork', 'chop']",4.199999809265137
29,"['girl', 'fly', 'kite']","['girl', 'run', 'fly', 'kite']",4.0
30,"['man', 'ride', 'mechanical', 'bull']","['man', 'ride', 'mechanical', 'bull']",4.0
31,"['man', 'play', 'guitar']","['man', 'play', 'guitar']",4.908999919891357
32,"['woman', 'dance', 'singe', 'woman']","['woman', 'dance', 'singe', 'rain']",3.0
33,"['man', 'slide']","['man', 'slide', 'onion']",2.400000095367432
34,"['man', 'pour', 'oil', 'pan']","['man', 'pour', 'oil', 'skilled']",4.199999809265137
35,"['lion', 'play', 'people']","['lion', 'play', 'man']",3.400000095367432
36,"['dog', 'ride', 'skateboard']","['dog', 'ride', 'skateboard']",5.0
37,"['carve', 'statue']","['man', 'carve', 'statue']",3.75
38,"['woman', 'slide', 'onion']","['man', 'cut', 'onion']",2.75
39,"['woman', 'feel', 'shrimp']","['woman', 'peel', 'shrimp']",5.0
40,"['woman', 'try', 'fish']","['woman', 'cook', 'fish']",4.0
41,"['woman', 'play', 'electric', 'guitar']","['woman', 'play', 'guitar']",3.5999999046325684
42,"['baby', 'tiger', 'play', 'ball']","['baby', 'play', 'doll']",1.600000023841858
43,"['person', 'slide', 'tomato']","['person', 'slide', 'meat']",1.75
44,"['person', 'cut', 'onion']","['person', 'cut', 'onion']",5.0
45,"['man', 'play', 'piano']","['woman', 'play', 'violin']",1.0
46,"['woman', 'play', 'flute']","['man', 'play', 'guitar']",1.0
47,"['man', 'cut', 'potato']","['man', 'cut', 'carrot']",2.375
48,"['kid', 'play', 'guitar']","['boy', 'play', 'guitar']",3.799999952316284
49,"['boy', 'play', 'guitar']","['man', 'play', 'guitar']",3.200000047683716
50,"['man', 'play', 'guitar']","['boy', 'play', 'guitar']",3.200000047683716
51,"['little', 'boy', 'play', 'keyboard']","['boy', 'play', 'key', 'board']",4.400000095367432
52,"['man', 'play', 'guitar']","['man', 'play', 'electric', 'guitar']",3.75
53,"['dog', 'lick', 'baby']","['dog', 'lick', 'baby']",4.75
54,"['woman', 'slide', 'onion']","['man', 'cut', 'onion']",3.200000047683716
55,"['man', 'play', 'guitar']","['man', 'play', 'drum']",1.555999994277954
56,"['woman', 'slide', 'pepper']","['woman', 'cut', 'red', 'pepper']",3.937999963760376
57,"['man', 'play', 'drum']","['man', 'play', 'drum']",5.0
58,"['woman', 'ride', 'horse']","['woman', 'ride', 'horse']",5.0
59,"['man', 'eat', 'banana', 'tree']","['man', 'eat', 'banana']",4.0
60,"['cat', 'play', 'key', 'board']","['man', 'play', 'keyboard']",1.600000023841858
61,"['man', 'crop', 'tree', 'axe']","['man', 'cut', 'tree', 'axe']",4.75
62,"['kid', 'play', 'toy', 'phone']","['little', 'boy', 'play', 'toy', 'phone']",3.5
63,"['man', 'ride', 'motorcycle']","['man', 'ride', 'horse']",1.399999976158142
64,"['man', 'ride', 'motorcycle']","['man', 'ride', 'horse']",1.399999976158142
65,"['squirrel', 'spin', 'circle']","['squirrel', 'run', 'circle']",4.0
66,"['man', 'woman', 'kiss']","['man', 'woman', 'kiss']",5.0
67,"['man', 'get', 'car']","['man', 'get', 'car', 'garage']",3.8329999446868896
68,"['man', 'dance']","['man', 'talk']",0.6000000238418579
69,"['man', 'play', 'guitar', 'singing']","['man', 'play', 'guitar']",2.9170000553131104
70,"['person', 'cut', 'mushroom']","['person', 'cut', 'mushroom', 'knife']",4.199999809265137
71,"['tiger', 'cub', 'make', 'sound']","['tiger', 'walk']",2.0
72,"['person', 'slide', 'onion']","['person', 'peel', 'onion']",2.5999999046325684
73,"['man', 'play', 'piano']","['man', 'play', 'trumpet']",1.600000023841858
74,"['woman', 'peel', 'potato']","['woman', 'peel', 'apple']",2.0
75,"['canada', 'eat', 'bamboo']","['bear', 'eat', 'bamboo']",4.199999809265137
76,"['person', 'peel', 'onion']","['person', 'peel', 'eggplant']",2.0
77,"['monkey', 'push', 'monkey']","['monkey', 'push', 'monkey']",4.800000190734863
78,"['squirrel', 'run', 'circle']","['squirrel', 'move', 'circle']",4.400000095367432
79,"['man', 'tie', 'shoe']","['man', 'tie', 'shoe']",5.0
80,"['boy', 'singe', 'play', 'piano']","['boy', 'play', 'piano']",3.0
81,"['dog', 'eat', 'water', 'melon']","['dog', 'eat', 'piece', 'watermelon']",4.25
82,"['woman', 'chop', 'broccoli']","['woman', 'chop', 'broccoli', 'knife']",4.25
83,"['man', 'peel', 'potato']","['man', 'peel', 'potato']",3.799999952316284
84,"['woman', 'play', 'guitar']","['man', 'play', 'guitar']",2.400000095367432
85,"['woman', 'slide', 'tomato']","['man', 'slide', 'onion']",1.600000023841858
86,"['man', 'swim', 'underwater']","['woman', 'swim', 'underwater']",2.0
87,"['man', 'woman', 'talk']","['man', 'woman', 'eat']",1.600000023841858
88,"['small', 'dog', 'chase', 'ball']","['dog', 'chase', 'ball']",4.0
89,"['man', 'play', 'cricket']","['man', 'play', 'basketball']",2.200000047683716
90,"['man', 'ride', 'motorcycle']","['man', 'ride', 'motorcycle']",4.400000095367432
91,"['man', 'play', 'guitar']","['man', 'singe', 'play', 'guitar']",3.5999999046325684
92,"['man', 'talk', 'telephone']","['man', 'talk', 'phone']",3.5999999046325684
93,"['man', 'fish']","['man', 'exercise']",0.5
94,"['man', 'hesitate']","['man', 'talk']",0.800000011920929
95,"['boy', 'drive']","['day', 'dance']",0.6000000238418579
96,"['man', 'ride', 'horse']","['girl', 'ride', 'horse']",2.5999999046325684
97,"['man', 'ride', 'bicycle']","['monkey', 'ride', 'bike']",2.0
98,"['man', 'slide', 'potato']","['woman', 'peel', 'potato']",2.200000047683716
99,"['woman', 'peel', 'potato']","['man', 'slide', 'potato']",2.400000095367432
100,"['man', 'play', 'guitar']","['play', 'guitar']",3.5999999046325684
101,"['woman', 'slide', 'week']","['woman', 'slide', 'ginger']",2.200000047683716
102,"['man', 'cut', 'paper', 'plate']","['man', 'cut', 'paper', 'plate']",4.800000190734863
103,"['man', 'play', 'guitar']","['man', 'play', 'flute']",1.6430000066757202
104,"['man', 'play', 'piano']","['man', 'play', 'violin']",1.75
105,"['woman', 'slide', 'meat']","['woman', 'read', 'meat']",2.25
106,"['man', 'play', 'keyboard']","['man', 'play', 'keyboard', 'piano']",4.0
107,"['lady', 'chop', 'green', 'onion']","['lady', 'cut', 'green', 'onion']",4.800000190734863
108,"['sit', 'nodule', 'water']","['woman', 'boil', 'nodule', 'water']",3.200000047683716
109,"['iogel', 'fichte', 'dance', 'ceiling']","['iogel', 'ritchie', 'dance', 'stand', 'ceiling']",4.0
110,"['man', 'play', 'piano']","['person', 'play', 'piano']",4.400000095367432
111,"['woman', 'play', 'flute']","['woman', 'play', 'flute']",4.599999904632568
112,"['boy', 'check', 'callender']","['boy', 'look', 'calendar']",3.799999952316284
113,"['woman', 'cut', 'onion']","['woman', 'chop', 'onion']",4.800000190734863
114,"['man', 'play', 'guitar']","['man', 'play', 'guitar']",4.85699987411499
115,"['woman', 'sewing', 'machine']","['woman', 'sewing', 'machine']",5.0
116,"['woman', 'slip', 'pancake']","['cartoon', 'chef', 'slip', 'pancake']",2.532999992370605
117,"['man', 'run', 'road']","['car', 'drive', 'road']",1.0
118,"['man', 'ride', 'horse']","['man', 'talk', 'phone']",1.0
119,"['man', 'ride', 'bike']","['man', 'ride', 'horse']",2.0
120,"['woman', 'dance']","['man', 'eat']",0.1430000066757202
121,"['man', 'play', 'piano']","['man', 'play', 'flute']",2.0
122,"['man', 'play', 'flute']","['man', 'play', 'piano']",1.600000023841858
123,"['man', 'spin']","['man', 'dance']",1.600000023841858
124,"['monkey', 'swinge', 'limb', 'limb']","['monkey', 'swinge', 'tree', 'tree']",3.400000095367432
125,"['people', 'get', 'train']","['people', 'get', 'train', 'station']",4.0
126,"['dog', 'jump', 'trampling']","['dog', 'ounce', 'trampling']",4.800000190734863
127,"['boy', 'play', 'instrument']","['man', 'play', 'trumpet']",2.5
128,"['woman', 'play', 'guitar']","['man', 'sing', 'play', 'guitar']",1.75
129,"['woman', 'pick']","['woman', 'slide', 'tomato']",1.0
130,"['man', 'climb', 'rope']","['man', 'limb', 'rope']",5.0
131,"['man', 'lift', 'car']","['man', 'climb', 'wall']",1.399999976158142
132,"['man', 'woman', 'drive', 'street', 'deep']","['man', 'woman', 'drive', 'road', 'open', 'air', 'vehicle']",4.0
133,"['shortness', 'man', 'sit', 'chair']","['shortness', 'man', 'sit', 'chair']",3.799999952316284
134,"['woman', 'wrest']","['woman', 'wrest', 'floor']",4.0
135,"['puppy', 'play', 'blue', 'tennis', 'ball']","['puppy', 'play', 'tennis', 'ball']",4.0
136,"['kangroo', 'eat']","['kangaroo', 'eat']",4.800000190734863
137,"['cat', 'play', 'piano']","['man', 'play', 'guitar']",0.6000000238418579
138,"['man', 'cut', 'carpet', 'knife']","['man', 'cut', 'carpet', 'knife']",4.75
139,"['woman', 'ride', 'motorize', 'soon', 'road']","['man', 'ride', 'motor', 'soon']",2.200000047683716
140,"['slide', 'vegetable']","['slide', 'tomato']",3.0
141,"['woman', 'dance']","['man', 'talk']",0.0
142,"['dog', 'lick', 'baby', 'droop']","['dog', 'lick', 'baby']",2.200000047683716
143,"['man', 'row', 'boat']","['man', 'slide', 'tomato']",0.4000000059604645
144,"['man', 'cut', 'potato']","['man', 'slice', 'potato']",4.800000190734863
145,"['woman', 'chop', 'garlic']","['woman', 'dine', 'garlic']",4.800000190734863
146,"['animal', 'run', 'circle']","['squirrel', 'run', 'circle']",3.799999952316284
147,"['man', 'walk', 'slowly', 'rope', 'bridge']","['boy', 'walk', 'bridge']",3.0
148,"['man', 'play', 'guitar']","['man', 'seat', 'room', 'play', 'guitar']",4.0
149,"['man', 'play', 'flute']","['man', 'play', 'flute']",5.0
150,"['woman', 'crack', 'egg', 'glass', 'bowl']","['woman', 'crack', 'egg', 'bowl']",3.799999952316284
151,"['man', 'cut', 'fish']","['man', 'gun', 'fish']",3.0
152,"['man', 'pack', 'suitcase', 'trunk', 'car']","['man', 'put', 'suitcase', 'car', 'trunk']",4.400000095367432
153,"['man', 'hour', 'oil', 'tomato']","['man', 'pour', 'oil', 'cut', 'potato']",3.799999952316284
154,"['man', 'slide']","['man', 'slide']",3.0
155,"['man', 'waddle', 'canoe']","['man', 'play', 'harp']",0.6669999957084656
156,"['man', 'woman', 'walk', 'wood']","['man', 'woman', 'walk', 'arm', 'arm', 'wooded', 'area']",4.0
157,"['woman', 'pick', 'kangaroo']","['woman', 'pick', 'baby', 'kangaroo']",3.75
158,"['wish', 'swim']","['fish', 'swim']",4.132999897003174
159,"['woman', 'mix', 'food', 'processor']","['woman', 'slender']",4.0
160,"['person', 'surge', 'large', 'wave']","['person', 'surge']",3.5999999046325684
161,"['man', 'play', 'guitar']","['man', 'stab', 'target']",1.2000000476837158
162,"['man', 'play', 'flute', 'band']","['man', 'play', 'guitar']",1.600000023841858
163,"['man', 'spread', 'butter', 'loaf', 'bread']","['man', 'spread', 'butter', 'bread']",4.0
164,"['person', 'boil', 'nodule']","['woman', 'boil', 'nodule', 'water']",4.0
165,"['group', 'people', 'dance', 'hill']","['group', 'people', 'dance']",3.200000047683716
166,"['man', 'dance', 'outside']","['man', 'play', 'flute']",1.0
167,"['woman', 'feed', 'man']","['woman', 'mix', 'meat']",1.0
168,"['man', 'put', 'pan', 'oven']","['woman', 'cut', 'onion']",0.6000000238418579
169,"['woman', 'sit', 'desk']","['woman', 'ride', 'donkey']",0.4000000059604645
170,"['relics', 'transport', 'patient', 'stretcher']","['doctor', 'rush', 'patient', 'stretcher']",3.400000095367432
171,"['woman', 'play', 'flute', 'stage']","['woman', 'play', 'flute']",3.5999999046325684
172,"['baby', 'hand', 'play']","['hand', 'lay']",3.0
173,"['baby', 'laugh']","['baby', 'laugh', 'tingling']",4.0
174,"['man', 'play', 'guitar']","['boy', 'play', 'piano']",1.2000000476837158
175,"['man', 'fold', 'paper']","['woman', 'slide', 'pepper']",0.6000000238418579
176,"['woman', 'dance']","['man', 'dance']",1.600000023841858
177,"['cat', 'play']","['cat', 'fight']",2.5999999046325684
178,"['person', 'write']","['person', 'write', 'pencil']",3.5999999046325684
179,"['man', 'run']","['man', 'run', 'road']",3.5
180,"['woman', 'roll', 'dough']","['woman', 'floor', 'rolling', 'dough']",3.765000104904175
181,"['woman', 'add', 'space', 'meat']","['woman', 'add', 'sugar', 'meat']",2.75
182,"['woman', 'add', 'oil', 'fish']","['woman', 'pour', 'water', 'fish']",2.25
183,"['young', 'boy', 'hold', 'guitar']","['little', 'boy', 'play', 'guitar']",2.75
184,"['cheetah', 'run']","['cheetah', 'run', 'field']",3.799999952316284
185,"['man', 'eat', 'penza']","['man', 'eat', 'slice', 'penza']",4.800000190734863
186,"['orangutan', 'ride', 'bus']","['monkey', 'ride', 'bus']",3.5999999046325684
187,"['man', 'woman', 'talk', 'dinner']","['man', 'woman', 'ride', 'bicycle']",1.2000000476837158
188,"['man', 'play', 'guitar']","['man', 'clean', 'glass', 'door']",0.4000000059604645
189,"['girl', 'singe', 'play', 'guitar']","['young', 'man', 'singe', 'play', 'guitar']",2.400000095367432
190,"['girl', 'communicate', 'sign', 'language']","['young', 'girl', 'sign', 'language']",3.940999984741211
191,"['woman', 'weight', 'exercise']","['woman', 'hair']",0.5
192,"['man', 'get', 'inside', 'car']","['elderly', 'man', 'get', 'red', 'car']",3.75
193,"['big', 'green', 'ball', 'knock', 'potato']","['large', 'green', 'ball', 'hit', 'potato']",4.0
194,"['cat', 'play', 'keyboard']","['cat', 'play', 'piano']",3.0
195,"['dog', 'swim', 'pool']","['dog', 'swim', 'pool']",4.199999809265137
196,"['man', 'copper', 'chop', 'onion']","['man', 'machine', 'chop', 'potato']",2.0
197,"['woman', 'slice']","['woman', 'cut']",5.0
198,"['herd', 'deer', 'cross', 'street']","['herd', 'carbon', 'cross', 'road']",3.0
199,"['person', 'ride', 'horse']","['man', 'ride', 'horse']",3.799999952316284
200,"['feed', 'animal']","['play', 'piano']",0.0
201,"['slide', 'tortila']","['ride', 'horse']",0.0
202,"['mix', 'ingredient']","['sew', 'thing']",0.25
203,"['monster', 'neck', 'dead', 'mouse']","['chicken', 'pack', 'dead', 'mouse']",4.0
204,"['woman', 'hold', 'kangaroo']","['woman', 'pick', 'kangaroo']",3.25
205,"['man', 'play', 'frog']","['cat', 'play', 'camera']",0.75
206,"['man', 'talk']","['man', 'play', 'guitar']",1.5
207,"['man', 'spread', 'butter', 'big', 'piece', 'bread']","['man', 'smear', 'butter', 'slice', 'garlic', 'bread']",3.5
208,"['man', 'run', 'high', 'wire']","['man', 'run', 'rope']",3.0
209,"['man', 'mow', 'lawn']","['woman', 'cut', 'lemon']",0.2000000029802322
210,"['man', 'open', 'door']","['man', 'play', 'guitar']",0.800000011920929
211,"['man', 'slide', 'potato', 'piece']","['man', 'cut', 'potato']",4.199999809265137
212,"['woman', 'cut', 'cook', 'octopus']","['woman', 'chop', 'octopus']",3.799999952316284
213,"['man', 'munch', 'board']","['dog', 'run', 'water']",0.4000000059604645
214,"['man', 'dance']","['man', 'eat', 'bread']",0.800000011920929
215,"['play', 'piano']","['man', 'play', 'guitar']",1.2000000476837158
216,"['fox', 'eat', 'plate', 'brick', 'ratio']","['box', 'eat', 'plate']",2.799999952316284
217,"['boy', 'play', 'key', 'board']","['boy', 'play', 'piano']",3.200000047683716
218,"['person', 'play', 'keyboard']","['play', 'keyboard']",5.0
219,"['man', 'shoot', 'gun']","['man', 'spit']",0.0
220,"['slide', 'onion']","['peel', 'potato']",1.0
221,"['man', 'swim']","['woman', 'slide', 'meat']",0.0
222,"['man', 'play', 'guitar']","['man', 'play', 'caustic', 'guitar']",3.75
223,"['woman', 'slide', 'pushkin']","['woman', 'ride', 'elephant']",0.4000000059604645
224,"['woman', 'dance']","['woman', 'knead', 'dough']",0.4000000059604645
225,"['woman', 'crack', 'egg', 'bowl']","['woman', 'place', 'skewer', 'rack']",0.6000000238418579
226,"['car', 'move', 'road']","['car', 'drive', 'road']",4.0
227,"['dress', 'pan']",['lay'],0.4000000059604645
228,"['man', 'play', 'guitar']","['man', 'drain', 'past']",0.4000000059604645
229,"['woman', 'drink', 'vodka']","['woman', 'exercise']",0.4000000059604645
230,"['woman', 'cut', 'meat', 'piece']","['woman', 'cut', 'meat']",4.800000190734863
231,"['man', 'rinse', 'speak']","['man', 'play', 'guitar']",0.6000000238418579
232,"['man', 'sell', 'item']","['man', 'clean', 'house']",0.800000011920929
233,"['man', 'jump', 'wall']","['man', 'jump', 'short', 'wall']",3.200000047683716
234,"['runner', 'race', 'track']","['runner', 'compete', 'race']",3.200000047683716
235,"['man', 'kick', 'soccer', 'ball']","['man', 'mix', 'bowl']",0.6000000238418579
236,"['woman', 'try']","['woman', 'ride', 'horse']",0.6000000238418579
237,"['cat', 'lick', 'suck']","['woman', 'slide', 'cucumber']",0.0
238,"['woman', 'dance', 'fire']","['woman', 'take', 'bath']",1.399999976158142
239,"['man', 'slide', 'fish', 'open']","['man', 'slide', 'potato']",2.200000047683716
240,"['utter', 'melt', 'pan']","['man', 'melt', 'butter', 'pan']",3.5999999046325684
241,"['boy', 'dance']","['lid', 'dance']",3.111000061035156
242,"['woman', 'play', 'game', 'man']","['man', 'play', 'piano']",0.6000000238418579
243,"['man', 'drive', 'white', 'car']","['man', 'give', 'interview']",0.4000000059604645
244,"['man', 'drive', 'car']","['man', 'drive', 'car']",4.25
245,"['car', 'back', 'space']","['car', 'back', 'blocked', 'lane']",3.0
246,"['man', 'put', 'cheese', 'penza']","['man', 'sprinkle', 'cheese', 'penza']",5.0
247,"['boy', 'play', 'piano']","['boy', 'play', 'piano']",5.0
248,"['man', 'play', 'guitar']","['man', 'play', 'guitar']",3.75
249,"['man', 'ride', 'horse']","['man', 'play', 'keyboard']",0.2000000029802322
250,"['man', 'walk', 'rope']","['man', 'ride', 'mo', 'pad']",0.4000000059604645
251,"['girl', 'play', 'flute']","['band', 'play', 'stage']",1.2860000133514404
252,"['people', 'step', 'train']","['group', 'people', 'train']",4.599999904632568
253,"['woman', 'sewing', 'machine']","['woman', 'read', 'meat']",0.6000000238418579
254,"['dog', 'look', 'swimming', 'pool']","['dog', 'walk', 'pool']",2.0
255,"['man', 'mutter', 'piece', 'bread']","['man', 'apply', 'butter', 'bread']",5.0
256,"['man', 'cut', 'potato', 'piece']","['woman', 'cut', 'vegetable']",1.7999999523162842
257,"['teenage', 'girl', 'dance', 'room']","['teenage', 'girl', 'dance', 'camera']",2.400000095367432
258,"['lion', 'walk']","['lion', 'pace', 'pen']",2.400000095367432
259,"['man', 'shoot', 'car']","['man', 'cut', 'potato']",0.4000000059604645
260,"['black', 'horse', 'run']","['horse', 'run']",4.199999809265137
261,"['woman', 'evening', 'shrimp']","['man', 'dance', 'rain']",0.0
262,"['man', 'ride', 'horse']","['woman', 'wash', 'freeze']",0.0
263,"['man', 'walk', 'path']","['man', 'walk', 'tight', 'rope']",0.800000011920929
264,"['man', 'slide', 'potato']","['woman', 'cut', 'jalepeno']",1.399999976158142
265,"['dog', 'bark', 'ball']","['dog', 'swim', 'tennis', 'ball']",1.5
266,"['kid', 'run', 'away', 'fish', 'swinge', 'fishing', 'pole']","['little', 'kid', 'run', 'fishing', 'pole']",2.5
267,"['man', 'walk', 'path', 'wilderness']","['man', 'walk', 'road']",2.5
268,"['elderly', 'man', 'speak', 'sodium']","['man', 'make', 'speech', 'sodium']",3.5
269,"['man', 'ride', 'horse', 'slow', 'motion']","['man', 'ride', 'horse']",3.400000095367432
270,"['person', 'cut', 'bursata', 'cheese']","['person', 'slide', 'cheese']",3.799999952316284
271,"['man', 'shoot', 'automatic', 'rifle']","['man', 'shoot', 'gun']",3.799999952316284
272,"['man', 'crush', 'garlic', 'knife']","['woman', 'slide', 'meat', 'knife']",1.5
273,"['woman', 'file', 'fingernail', 'board']","['woman', 'feed', 'baby', 'bottle']",0.5
274,"['man', 'ride', 'skateboard']","['woman', 'cut', 'potato']",0.0
275,"['woman', 'take', 'shower']","['man', 'ride', 'white', 'horse']",0.0
276,"['man', 'dance']","['man', 'ride', 'horse']",0.800000011920929
277,"['man', 'row', 'boat']","['man', 'shoot', 'gun']",0.8500000238418579
278,"['man', 'swinge', 'rope', 'attach', 'ceiling']","['man', 'swinge', 'rope']",3.400000095367432
279,"['woman', 'ride', 'horse', 'beach']","['man', 'carry', 'man']",0.4000000059604645
280,"['man', 'hold', 'small', 'animal', 'hand']","['man', 'show', 'small', 'monkey']",1.75
281,"['person', 'fold', 'square', 'paper', 'piece']","['man', 'fold', 'paper']",3.25
282,"['person', 'try', 'meat', 'pan']","['person', 'hold', 'sunk']",0.75
283,"['chimpanzee', 'hurt', 'woman']","['man', 'drive', 'car']",0.0
284,"['woman', 'peel', 'shrimp']","['man', 'hold', 'femur']",0.0
285,"['debris', 'play']","['debris', 'socialize']",4.25
286,"['woman', 'slide', 'butter']","['woman', 'slice']",1.7999999523162842
287,"['man', 'play', 'guitar']","['man', 'play', 'guitar', 'singe']",3.200000047683716
288,"['elephant', 'spray', 'water']","['elephant', 'spray', 'water']",3.5999999046325684
289,"['dog', 'sit', 'counter', 'store']","['dog', 'stand', 'counter']",2.5999999046325684
290,"['drill', 'hole', 'strip', 'wood', 'power', 'drill']","['man', 'drill', 'hole', 'piece', 'wood']",3.200000047683716
291,"['woman', 'slide', 'vegetable']","['woman', 'dine', 'garlic']",2.799999952316284
292,"['badge', 'burrow', 'hole']","['badge', 'dig', 'earth']",4.599999904632568
293,"['woman', 'water', 'skin', 'lake']","['man', 'play', 'flute']",0.0
294,"['girl', 'play', 'violin']","['baby', 'laugh', 'tingling']",0.25
295,"['helicopter', 'land', 'helped']","['helicopter', 'land']",3.92300009727478
296,"['woman', 'cut', 'chicken']","['woman', 'slide', 'meat']",2.75
297,"['woman', 'cut', 'cucumber']","['man', 'play', 'guitar']",0.0
298,"['woman', 'ride', 'elephant', 'adoring', 'crowd']","['woman', 'ride', 'elephant']",3.0
299,"['puppy', 'slide', 'backwards', 'floor']","['puppy', 'push', 'backwards']",3.799999952316284
300,"['woman', 'splint', 'garlic', 'glove']","['woman', 'break', 'head', 'garlic', 'glove']",4.599999904632568
301,"['dog', 'look', 'swimming', 'pool']","['dog', 'walk', 'edge', 'pool']",2.5999999046325684
302,"['woman', 'mile', 'beauty', 'treatment', 'glass']","['woman', 'mix', 'cream', 'glass', 'spoon']",3.5999999046325684
303,"['man', 'draw', 'picture']","['person', 'draw']",3.5999999046325684
304,"['woman', 'pick', 'potato']","['woman', 'pour', 'matter', 'bowl']",1.0
305,"['man', 'look', 'computer', 'monitor']","['man', 'lawton']",2.75
306,"['boy', 'ride', 'trickle']","['woman', 'ride', 'water', 'soon']",1.25
307,"['man', 'compete', 'tire', 'roll', 'race']","['people', 'slip', 'traitor', 'tire', 'race']",2.75
308,"['person', 'cut', 'meat']","['person', 'ride', 'mechanical', 'bull']",0.0
309,"['man', 'play', 'violin']","['woman', 'sewing', 'machine']",0.0
310,"['baby', 'crawl', 'doorway']","['baby', 'crawl', 'floor']",2.400000095367432
311,"['man', 'play', 'keyboard']","['person', 'play', 'piano']",2.200000047683716
312,"['man', 'smell', 'pizza']","['woman', 'feed', 'man']",0.2000000029802322
313,"['monkey', 'pull', 'tail', 'dog']","['monkey', 'tease', 'dog']",2.799999952316284
314,"['dog', 'lie', 'wooden', 'floor']","['dog', 'lay', 'floor']",4.0
315,"['woman', 'try', 'pan']","['man', 'play', 'guitar']",0.0
316,"['man', 'put', 'reasoning', 'bowl', 'water']","['man', 'add', 'reasoning', 'water', 'bowl']",5.0
317,"['elderly', 'woman', 'pour', 'oil', 'try', 'pan']","['tied', 'man', 'put', 'water']",0.0
318,"['woman', 'chop', 'onion']","['woman', 'slide', 'partially', 'half', 'onion']",3.200000047683716
319,"['woman', 'pick', 'kangaroo']","['woman', 'carry', 'kangaroo']",3.5
320,"['dog', 'bite']","['dog', 'open', 'food']",1.75
321,"['woman', 'define', 'fish']","['man', 'catch', 'fish']",1.25
322,"['man', 'mow', 'grass']","['man', 'burst', 'concrete']",0.8330000042915344
323,"['cat', 'watch']","['man', 'slide', 'leave']",0.0
324,"['boy', 'stick', 'door', 'hothouse']","['child', 'stick', 'dog', 'house']",3.75
325,"['people', 'lip', 'swimming', 'pool']","['man', 'fall', 'pool']",2.75
326,"['woman', 'swim', 'underwater']","['woman', 'swim']",3.799999952316284
327,"['man', 'play', 'guitar']","['woman', 'dance']",0.2000000029802322
328,"['airplane', 'fly', 'air']","['south', 'african', 'airways', 'plane', 'fly', 'blue', 'sky']",3.400000095367432
329,"['bear', 'run', 'dog']","['bear', 'fight', 'wolf']",1.399999976158142
330,"['woman', 'rest', 'float', 'raft']","['woman', 'relax', 'inner', 'tube']",3.799999952316284
331,"['man', 'dine', 'operating', 'room']","['man', 'kiss', 'woman', 'stage']",0.4000000059604645
332,"['man', 'hold', 'leaf']","['woman', 'watch', 'television']",0.0
333,"['person', 'ride', 'horse']","['woman', 'slide', 'potato']",0.0
334,"['woman', 'slide', 'octopus']","['man', 'play', 'guitar']",0.0
335,"['man', 'break', 'water', 'jug']","['woman', 'peel', 'garlic']",0.2000000029802322
336,"['man', 'play', 'guitar']","['woman', 'cut', 'vegetable']",0.0
337,"['girl', 'eat', 'cupcake']","['man', 'slide', 'cucumber']",0.0
