,sentence1,sentence2,similarity_score,sentence_transformers_cosine_score
266,kid run away fish swinge fishing pole,little kid run fishing pole,2.5,0.7231281
267,man walk path wilderness,man walk road,2.5,0.68493754
268,elderly man speak sodium,man make speech sodium,3.5,0.81606054
269,man ride horse slow motion,man ride horse,3.400000095367432,0.8399075
270,person cut bursata cheese,person slide cheese,3.799999952316284,0.5075037
271,man shoot automatic rifle,man shoot gun,3.799999952316284,0.8571341
272,man crush garlic knife,woman slide meat knife,1.5,0.41475683
273,woman file fingernail board,woman feed baby bottle,0.5,0.16701618
274,man ride skateboard,woman cut potato,0.0,-0.082372
275,woman take shower,man ride white horse,0.0,-0.0298352
276,man dance,man ride horse,0.800000011920929,0.15831275
277,man row boat,man shoot gun,0.8500000238418579,0.23196971
278,man swinge rope attach ceiling,man swinge rope,3.400000095367432,0.8581402
279,woman ride horse beach,man carry man,0.4000000059604645,-0.0050631496
280,man hold small animal hand,man show small monkey,1.75,0.4496145
281,person fold square paper piece,man fold paper,3.25,0.8048169
282,person try meat pan,person hold sunk,0.75,0.026598902
283,chimpanzee hurt woman,man drive car,0.0,0.03531049
284,woman peel shrimp,man hold femur,0.0,-0.015550889
285,debris play,debris socialize,4.25,0.6158178
286,woman slide butter,woman slice,1.7999999523162842,0.32710674
287,man play guitar,man play guitar singe,3.200000047683716,0.7188883
288,elephant spray water,elephant spray water,3.5999999046325684,0.9999998
289,dog sit counter store,dog stand counter,2.5999999046325684,0.75329673
290,drill hole strip wood power drill,man drill hole piece wood,3.200000047683716,0.6767143
291,woman slide vegetable,woman dine garlic,2.799999952316284,0.30518857
292,badge burrow hole,badge dig earth,4.599999904632568,0.666455
293,woman water skin lake,man play flute,0.0,0.0473199
294,girl play violin,baby laugh tingling,0.25,0.04435237
295,helicopter land helped,helicopter land,3.92300009727478,0.8906654
296,woman cut chicken,woman slide meat,2.75,0.53155255
297,woman cut cucumber,man play guitar,0.0,-0.040054433
298,woman ride elephant adoring crowd,woman ride elephant,3.0,0.7649963
299,puppy slide backwards floor,puppy push backwards,3.799999952316284,0.7812827
300,woman splint garlic glove,woman break head garlic glove,4.599999904632568,0.8536309
301,dog look swimming pool,dog walk edge pool,2.5999999046325684,0.71086884
302,woman mile beauty treatment glass,woman mix cream glass spoon,3.5999999046325684,0.38765904
303,man draw picture,person draw,3.5999999046325684,0.7211784
304,woman pick potato,woman pour matter bowl,1.0,0.34980777
305,man look computer monitor,man lawton,2.75,0.051448926
306,boy ride trickle,woman ride water soon,1.25,0.32200408
307,man compete tire roll race,people slip traitor tire race,2.75,0.53244495
308,person cut meat,person ride mechanical bull,0.0,0.08498199
309,man play violin,woman sewing machine,0.0,-0.045503512
310,baby crawl doorway,baby crawl floor,2.400000095367432,0.6881381
311,man play keyboard,person play piano,2.200000047683716,0.56033844
312,man smell pizza,woman feed man,0.2000000029802322,0.11524819
313,monkey pull tail dog,monkey tease dog,2.799999952316284,0.7192609
314,dog lie wooden floor,dog lay floor,4.0,0.85810494
315,woman try pan,man play guitar,0.0,-0.08925123
316,man put reasoning bowl water,man add reasoning water bowl,5.0,0.91930133
317,elderly woman pour oil try pan,tied man put water,0.0,-0.030294303
318,woman chop onion,woman slide partially half onion,3.200000047683716,0.79507256
319,woman pick kangaroo,woman carry kangaroo,3.5,0.8071819
320,dog bite,dog open food,1.75,0.46464366
321,woman define fish,man catch fish,1.25,0.5001555
322,man mow grass,man burst concrete,0.8330000042915344,0.21163578
323,cat watch,man slide leave,0.0,0.030036421
324,boy stick door hothouse,child stick dog house,3.75,0.60994655
325,people lip swimming pool,man fall pool,2.75,0.4483006
326,woman swim underwater,woman swim,3.799999952316284,0.8430374
327,man play guitar,woman dance,0.2000000029802322,-0.0114321485
328,airplane fly air,south african airways plane fly blue sky,3.400000095367432,0.66979337
329,bear run dog,bear fight wolf,1.399999976158142,0.64462745
330,woman rest float raft,woman relax inner tube,3.799999952316284,0.57783985
331,man dine operating room,man kiss woman stage,0.4000000059604645,0.13074704
332,man hold leaf,woman watch television,0.0,0.0060137883
333,person ride horse,woman slide potato,0.0,0.020170525
334,woman slide octopus,man play guitar,0.0,0.047613394
335,man break water jug,woman peel garlic,0.2000000029802322,-0.11602352
336,man play guitar,woman cut vegetable,0.0,-0.014940048
337,girl eat cupcake,man slide cucumber,0.0,-0.04131854
338,little girl play grass dog ball,baby play dog ball,3.799999952316284,0.6257471
339,people ride paddle raft,people float raft,2.25,0.8293961
340,lady cut potato,man cut potato,2.400000095367432,0.6507562
341,missile explode,rocket explode,3.200000047683716,0.87803125
342,dog play snow,dog paw fly carpet,1.600000023841858,0.4535222
343,woman dance woman,woman shed chicken,0.4000000059604645,0.2810468
344,boy push van,person slide tomato,0.0,0.036938097
345,boy make dance step,boy pour pitcher,0.4000000059604645,0.16725577
346,woman open soda drink,woman ride elephant,0.6000000238418579,0.25898236
347,man assemble speaker part,man play guitar,1.0,0.25472167
348,dog walk edge pool,dog walk pool,4.599999904632568,0.9528591
349,utter bowl,man cut butter mixing bowl,4.25,0.23755266
350,raccoon eat,man eat,1.5,0.3755387
351,fall horse,man gets knock horse,3.5,0.4702785
352,woman feel apple,man pip wheel motorcycle,0.0,0.052265413
353,man take path class,man rinse speak,0.0,0.18406993
354,animal play water,man play king long,0.0,0.12474212
355,man ride horse jump obstacle,man kick soccer ball,0.3330000042915344,0.08427131
356,person pencil trick hand,person slide carrot half,0.3330000042915344,0.26100487
357,person light camera fire,person blow touch camera,3.3329999446868896,0.4296618
358,man slide tape box,man cut open box,4.333000183105469,0.57254887
359,man fish river,man singe walk sidewalk,0.800000011920929,0.24092263
360,man ride bike,woman dance street,0.2000000029802322,-0.024257937
361,man push,woman cut octopus,0.0,0.008767193
362,man play guitar,woman slide pork,0.0,0.08081427
363,little boy singe play guitar,baby play guitar,2.799999952316284,0.5897437
364,woman powder face,woman tap finger table,0.800000011920929,0.3222702
365,woman peel potato,lion walk,0.0,-0.06854549
366,woman fire rifle,man perform sound,0.25,0.027933411
367,woman put grand man shoulder,man hour water pilot head,0.5,0.072970495
368,old woman shake hand man,man woman shake hand,3.75,0.83336985
369,woman waterskie,woman wake boarding lake,1.75,0.46221697
370,tree bend storm,tree hit hard wind,2.6670000553131104,0.72675705
371,man woman ride car,woman try shrimp,0.4000000059604645,0.08383318
372,man move tree limb,woman play violin,0.0,-0.033166386
373,man play piano,woman play violin,1.0,0.19641915
374,person hour oil skilled,person dine onion,0.800000011920929,0.06585941
375,animal eat,woman dance,0.0,-0.005720338
376,woman walk dog,woman walk dog street,4.0,0.9278712
377,group people sing,people singe,5.0,0.7974087
378,cat drink milk,cat lick saucer milk,4.400000095367432,0.8214718
379,girl make eyelid,woman apply eyeshadow,2.0,0.41485664
380,man fight,man fight form martial art,2.799999952316284,0.77027327
381,military officer bark recruit,officer talk recruit,2.5,0.55967784
382,man put chicken container,man put food box,2.5,0.6170496
383,man tie stenographer machine,man stenographic,2.25,0.48825932
384,woman add past pot water,woman make nodule,3.5999999046325684,0.29877856
385,woman lie blanket rock read book,woman seat singe song play guitar,1.2000000476837158,0.2823891
386,supply play,man play soccer,0.2000000029802322,0.19035447
387,man run field,man limb rope,1.0,0.17001697
388,man hug,man take picture,0.4000000059604645,0.19816002
389,pour ingredient pot,man put vegetable pot,2.799999952316284,0.52491546
390,couple walk,man saw,0.0,0.0590543
391,person play guitar,man play guitar,3.0,0.7824039
392,person add food pan,woman put rice pan,3.0,0.58428276
393,group penguin walk,large penguin head ocean,2.799999952316284,0.50935555
394,man play guitar,handle,0.0,0.042533413
395,dog jump trampling,boy play guitar,0.0,-0.12126525
396,man shake container kitchen sink,man empty plastic container,2.200000047683716,0.44065723
397,man walk horse,man lead horse halt,3.75,0.67741895
398,paper cut scissor,piece paper cut,4.0,0.59167594
399,person feel shrimp,lady peel shrimp,3.5,0.6245544
400,man play guitar,man try read paper,0.800000011920929,0.17723583
401,man make bed hotel,man hold animal,0.800000011920929,0.1585434
402,dog pull dog tail leg,monkey pull dog tail,1.75,0.6566679
403,woman beat egg bowl,person mix ingredient bowl,3.0,0.4660598
404,man jump rope outside,woman slide cucumber,0.0,-0.15888125
405,person slide onion,master singe,0.0,0.2116073
406,woman hold kangaroo,man hat sing song,0.0,-0.0043349657
407,soccer player kick soccer ball goal,soccer player score goal,3.799999952316284,0.8667939
408,woman cook,woman pour ingredient try pan,3.200000047683716,0.58819675
409,woman swim beach,woman splash ocean wave,3.200000047683716,0.6804275
410,man carry man,man spray man water,0.800000011920929,0.23280892
411,woman put paste dish,woman pull kind sticky bowl,1.5,0.46210927
412,man hold talk gray tube t shirt,man show t shirt,2.75,0.58845025
413,hour olive oil bowl tomato edge,man pour oil tomato slice,3.75,0.7297185
414,man play guitar,man play guitar friend,3.200000047683716,0.78291214
415,boil oka pot,hour olive oil bowl tomato edge,0.800000011920929,0.21468416
416,person peel potato,cat lick small bottle,0.0,0.002524538
417,cat jump box,young man talk leaf,0.0,-0.067769155
418,woman reason oil,woman pour ingredient bowl,1.399999976158142,0.39346588
419,cat slide upside couch,cat crawl piece furniture,3.200000047683716,0.57013094
420,woman dance man play keyboard,woman dance stage,2.200000047683716,0.5107164
421,chef clean bowl soup,man wipe edge bowl,2.532999992370605,0.34838337
422,explosion boom desert,nuclear weapon explode desert,3.400000095367432,0.6955652
423,woman slice lemon,man talk microphone,0.0,0.0022557909
424,overnight man ship rope,young man dance,0.800000011920929,0.13374454
425,lady crack raw egg,woman crack egg bowl,3.200000047683716,0.8421247
426,man sharpen pencil knife,woman dance rain,0.0,-0.08230932
427,elastic toy float water,lady perform dance,0.0,0.004038267
428,turtle follow fish,sea turtle hunt fish,3.0,0.8158141
429,woman pencil eye shadow,girl eye pencil eyelid,2.799999952316284,0.6192301
430,man tie shoe,dog ride bicyclist shoulder,0.0,0.010508159
431,woman slide meat knife,man spread dough,0.4169999957084656,0.12277625
432,dog run ground,girl tap finger nail,0.0,0.039385263
433,man pet tie dog,man show dog camera,1.0,0.35066384
434,woman walk open ground pet dog dog follow,man walk dog,2.0,0.47347683
435,woman mine garlic,person clean disk,0.0,0.073304996
436,tear play soccer,different set tear play football field,2.5,0.5063419
437,rat like creature smell,animal walk ground,2.0,0.314201
438,sum finger fight,man ride water toy water,0.0,0.12433167
439,man lay ground aim rifle,man spread butter gorilla,0.0,0.048838817
440,couple run ocean,man woman run hold hand,2.818000078201294,0.50811094
441,woman chop hard egg,person cut boil egg piece,3.532999992370605,0.6993942
442,root share kiss,male female root kiss,3.799999952316284,0.83580923
443,cat try touch dog,cat tease dog touch head,3.25,0.80804294
444,rhine graze grass,rhine graze field,4.0,0.8180643
445,man drive little red car traffic,dog run water beach,0.0,-0.06508292
446,man cut bread,man trick soccer ball,1.0,0.12001636
447,cat rapidly seat kid head,cat boy play,2.5999999046325684,0.47757038
448,cat play box,dog play floor cleaner,1.399999976158142,0.2562263
449,couple dance church,couple slow dance,3.200000047683716,0.73103786
450,man pat alligator mouth,person dump chop vegetable pot stove,0.0,0.11046839
451,person check rice pudding,horse run,0.0,-0.05738319
452,woman stir egg glass bowl,young girl singe stage,0.0,0.12340106
453,man play drum,man hour clean sink,0.0,0.086295865
454,man slide pepper,person cut big green pepper apart,3.799999952316284,0.56142604
455,woman speak sign language,woman space seafood,0.6430000066757202,0.3201347
456,boy crawl dog house,cat play floor,0.0,0.14180444
457,girl fly kite run hill,girl lose kite,2.25,0.6580129
458,woman place food pot hot water,woman try meat,1.25,0.28974423
459,small monkey walk water,monkey wade marsh,3.400000095367432,0.578817
460,man ride bike,bear eat,0.0,0.113525316
461,young man singe play piano,man write letter,0.2000000029802322,0.13959342
462,boy take sunglass,boy scream,0.5,0.29802412
463,girl play piano,boy push,0.0,0.03908942
464,lady slice tomato,cut tomato,4.0,0.7613921
465,hold hedgehog,onion slice,0.0,0.11827007
466,woman feel potato,woman trill pineapple,1.0,0.17361057
467,cat drink water,truck go hill,0.0,0.0011463258
468,person put salt pepper piece pork,youngster sit piano,0.0,-0.02244261
469,man sit chair stared,little girl put hair pony tail,0.0,0.000901334
470,woman dine potato,woman cut tiny piece,1.7999999523162842,0.23295951
471,baby crawl happily,baby sneer scare baby,1.2000000476837158,0.3807076
472,person try meat pan,man cut vegetable,0.6000000238418579,0.3375626
473,man look window,woman swim water,0.25,-0.07516911
474,man seat play guitar,man play caustic guitar singe microphone,3.25,0.56040657
475,woman slide onion knife,man prepare dish,1.25,0.18541546
476,rider run jump horse,woman jump bundle horse,4.0,0.6717702
477,boy play key board,boy sit room play piano lamp light,3.25,0.6370132
478,man fight,man exercise,0.75,0.3129914
479,man play wooden flute man play long drum,man play flute,3.25,0.77514243
480,person pet monkey,man hold slow boris,1.2000000476837158,0.06682184
