,sentence1,sentence2,similarity_score,common_word,rank_by_common_word,rank_by_similarity_score,d,d^2
55,"['man', 'play', 'guitar']","['man', 'play', 'drum']",1.555999994277954,2,2613,1455,1158,1340964
56,"['woman', 'slide', 'pepper']","['woman', 'cut', 'red', 'pepper']",3.937999963760376,2,2639,4342,-1703,2900209
57,"['man', 'play', 'drum']","['man', 'play', 'drum']",5.0,3,3525,5528,-2003,4012009
58,"['woman', 'ride', 'horse']","['woman', 'ride', 'horse']",5.0,3,3519,5529,-2010,4040100
59,"['man', 'eat', 'banana', 'tree']","['man', 'eat', 'banana']",4.0,3,3515,4659,-1144,1308736
60,"['cat', 'play', 'key', 'board']","['man', 'play', 'keyboard']",1.600000023841858,1,945,1485,-540,291600
61,"['man', 'crop', 'tree', 'axe']","['man', 'cut', 'tree', 'axe']",4.75,3,3533,5332,-1799,3236401
62,"['kid', 'play', 'toy', 'phone']","['little', 'boy', 'play', 'toy', 'phone']",3.5,3,3556,3736,-180,32400
63,"['man', 'ride', 'motorcycle']","['man', 'ride', 'horse']",1.399999976158142,2,2569,1343,1226,1503076
64,"['man', 'ride', 'motorcycle']","['man', 'ride', 'horse']",1.399999976158142,2,2611,1342,1269,1610361
65,"['squirrel', 'spin', 'circle']","['squirrel', 'run', 'circle']",4.0,2,2380,4406,-2026,4104676
66,"['man', 'woman', 'kiss']","['man', 'woman', 'kiss']",5.0,3,3305,5514,-2209,4879681
67,"['man', 'get', 'car']","['man', 'get', 'car', 'garage']",3.8329999446868896,3,3274,4331,-1057,1117249
68,"['man', 'dance']","['man', 'talk']",0.6000000238418579,1,930,635,295,87025
69,"['man', 'play', 'guitar', 'singing']","['man', 'play', 'guitar']",2.9170000553131104,3,3272,2755,517,267289
70,"['person', 'cut', 'mushroom']","['person', 'cut', 'mushroom', 'knife']",4.199999809265137,3,3264,4766,-1502,2256004
71,"['tiger', 'cub', 'make', 'sound']","['tiger', 'walk']",2.0,1,826,1844,-1018,1036324
72,"['person', 'slide', 'onion']","['person', 'peel', 'onion']",2.5999999046325684,2,2164,2451,-287,82369
73,"['man', 'play', 'piano']","['man', 'play', 'trumpet']",1.600000023841858,2,2165,1483,682,465124
74,"['woman', 'peel', 'potato']","['woman', 'peel', 'apple']",2.0,2,2129,1822,307,94249
75,"['canada', 'eat', 'bamboo']","['bear', 'eat', 'bamboo']",4.199999809265137,2,2132,4740,-2608,6801664
76,"['person', 'peel', 'onion']","['person', 'peel', 'eggplant']",2.0,2,2137,1827,310,96100
77,"['monkey', 'push', 'monkey']","['monkey', 'push', 'monkey']",4.800000190734863,2,2142,5356,-3214,10329796
78,"['squirrel', 'run', 'circle']","['squirrel', 'move', 'circle']",4.400000095367432,2,2146,5083,-2937,8625969
79,"['man', 'tie', 'shoe']","['man', 'tie', 'shoe']",5.0,3,3302,5688,-2386,5692996
80,"['boy', 'singe', 'play', 'piano']","['boy', 'play', 'piano']",3.0,3,3300,3000,300,90000
81,"['dog', 'eat', 'water', 'melon']","['dog', 'eat', 'piece', 'watermelon']",4.25,2,2188,4938,-2750,7562500
82,"['woman', 'chop', 'broccoli']","['woman', 'chop', 'broccoli', 'knife']",4.25,3,3299,4941,-1642,2696164
83,"['man', 'peel', 'potato']","['man', 'peel', 'potato']",3.799999952316284,3,3295,4187,-892,795664
84,"['woman', 'play', 'guitar']","['man', 'play', 'guitar']",2.400000095367432,2,2196,2215,-19,361
85,"['woman', 'slide', 'tomato']","['man', 'slide', 'onion']",1.600000023841858,1,860,1482,-622,386884
86,"['man', 'swim', 'underwater']","['woman', 'swim', 'underwater']",2.0,2,2197,1919,278,77284
87,"['man', 'woman', 'talk']","['man', 'woman', 'eat']",1.600000023841858,2,2198,1480,718,515524
88,"['small', 'dog', 'chase', 'ball']","['dog', 'chase', 'ball']",4.0,3,3290,4398,-1108,1227664
89,"['man', 'play', 'cricket']","['man', 'play', 'basketball']",2.200000047683716,2,2207,2042,165,27225
90,"['man', 'ride', 'motorcycle']","['man', 'ride', 'motorcycle']",4.400000095367432,3,3286,5106,-1820,3312400
91,"['man', 'play', 'guitar']","['man', 'singe', 'play', 'guitar']",3.5999999046325684,3,3285,3888,-603,363609
92,"['man', 'talk', 'telephone']","['man', 'talk', 'phone']",3.5999999046325684,2,2187,3901,-1714,2937796
93,"['man', 'fish']","['man', 'exercise']",0.5,1,415,594,-179,32041
94,"['man', 'hesitate']","['man', 'talk']",0.800000011920929,1,421,777,-356,126736
95,"['boy', 'drive']","['day', 'dance']",0.6000000238418579,0,402,627,-225,50625
96,"['man', 'ride', 'horse']","['girl', 'ride', 'horse']",2.5999999046325684,2,2171,2413,-242,58564
97,"['man', 'ride', 'bicycle']","['monkey', 'ride', 'bike']",2.0,1,403,1897,-1494,2232036
98,"['man', 'slide', 'potato']","['woman', 'peel', 'potato']",2.200000047683716,1,507,2110,-1603,2569609
99,"['woman', 'peel', 'potato']","['man', 'slide', 'potato']",2.400000095367432,1,516,2183,-1667,2778889
100,"['man', 'play', 'guitar']","['play', 'guitar']",3.5999999046325684,2,2172,3896,-1724,2972176
101,"['woman', 'slide', 'week']","['woman', 'slide', 'ginger']",2.200000047683716,2,2173,1997,176,30976
102,"['man', 'cut', 'paper', 'plate']","['man', 'cut', 'paper', 'plate']",4.800000190734863,4,4123,5385,-1262,1592644
103,"['man', 'play', 'guitar']","['man', 'play', 'flute']",1.6430000066757202,2,2070,1594,476,226576
104,"['man', 'play', 'piano']","['man', 'play', 'violin']",1.75,2,2072,1607,465,216225
105,"['woman', 'slide', 'meat']","['woman', 'read', 'meat']",2.25,2,2074,2154,-80,6400
106,"['man', 'play', 'keyboard']","['man', 'play', 'keyboard', 'piano']",4.0,3,3215,4685,-1470,2160900
107,"['lady', 'chop', 'green', 'onion']","['lady', 'cut', 'green', 'onion']",4.800000190734863,3,3214,5379,-2165,4687225
108,"['sit', 'nodule', 'water']","['woman', 'boil', 'nodule', 'water']",3.200000047683716,2,2079,3259,-1180,1392400
109,"['iogel', 'fichte', 'dance', 'ceiling']","['iogel', 'ritchie', 'dance', 'stand', 'ceiling']",4.0,3,3212,4562,-1350,1822500
110,"['man', 'play', 'piano']","['person', 'play', 'piano']",4.400000095367432,2,2081,4999,-2918,8514724
111,"['woman', 'play', 'flute']","['woman', 'play', 'flute']",4.599999904632568,3,3210,5152,-1942,3771364
112,"['boy', 'check', 'callender']","['boy', 'look', 'calendar']",3.799999952316284,1,500,4066,-3566,12716356
113,"['woman', 'cut', 'onion']","['woman', 'chop', 'onion']",4.800000190734863,2,2082,5373,-3291,10830681
114,"['man', 'play', 'guitar']","['man', 'play', 'guitar']",4.85699987411499,3,3209,5480,-2271,5157441
115,"['woman', 'sewing', 'machine']","['woman', 'sewing', 'machine']",5.0,3,3208,5673,-2465,6076225
116,"['woman', 'slip', 'pancake']","['cartoon', 'chef', 'slip', 'pancake']",2.532999992370605,2,2047,2366,-319,101761
117,"['man', 'run', 'road']","['car', 'drive', 'road']",1.0,1,420,1068,-648,419904
118,"['man', 'ride', 'horse']","['man', 'talk', 'phone']",1.0,1,423,1074,-651,423801
119,"['man', 'ride', 'bike']","['man', 'ride', 'horse']",2.0,2,2051,1802,249,62001
120,"['woman', 'dance']","['man', 'eat']",0.1430000066757202,0,379,370,9,81
121,"['man', 'play', 'piano']","['man', 'play', 'flute']",2.0,2,2056,1798,258,66564
122,"['man', 'play', 'flute']","['man', 'play', 'piano']",1.600000023841858,2,2057,1474,583,339889
123,"['man', 'spin']","['man', 'dance']",1.600000023841858,1,449,1481,-1032,1065024
124,"['monkey', 'swinge', 'limb', 'limb']","['monkey', 'swinge', 'tree', 'tree']",3.400000095367432,2,2058,3539,-1481,2193361
125,"['people', 'get', 'train']","['people', 'get', 'train', 'station']",4.0,3,3245,4550,-1305,1703025
126,"['dog', 'jump', 'trampling']","['dog', 'ounce', 'trampling']",4.800000190734863,2,2104,5392,-3288,10810944
127,"['boy', 'play', 'instrument']","['man', 'play', 'trumpet']",2.5,1,428,2353,-1925,3705625
128,"['woman', 'play', 'guitar']","['man', 'sing', 'play', 'guitar']",1.75,2,2107,1609,498,248004
129,"['woman', 'pick']","['woman', 'slide', 'tomato']",1.0,1,526,983,-457,208849
130,"['man', 'climb', 'rope']","['man', 'limb', 'rope']",5.0,2,2110,5730,-3620,13104400
131,"['man', 'lift', 'car']","['man', 'climb', 'wall']",1.399999976158142,1,617,1333,-716,512656
132,"['man', 'woman', 'drive', 'street', 'deep']","['man', 'woman', 'drive', 'road', 'open', 'air', 'vehicle']",4.0,3,3237,4345,-1108,1227664
133,"['shortness', 'man', 'sit', 'chair']","['shortness', 'man', 'sit', 'chair']",3.799999952316284,4,4146,4267,-121,14641
134,"['woman', 'wrest']","['woman', 'wrest', 'floor']",4.0,2,2117,4465,-2348,5513104
135,"['puppy', 'play', 'blue', 'tennis', 'ball']","['puppy', 'play', 'tennis', 'ball']",4.0,4,4148,4426,-278,77284
136,"['kangroo', 'eat']","['kangaroo', 'eat']",4.800000190734863,1,603,5365,-4762,22676644
137,"['cat', 'play', 'piano']","['man', 'play', 'guitar']",0.6000000238418579,1,626,725,-99,9801
138,"['man', 'cut', 'carpet', 'knife']","['man', 'cut', 'carpet', 'knife']",4.75,4,4073,5341,-1268,1607824
139,"['woman', 'ride', 'motorize', 'soon', 'road']","['man', 'ride', 'motor', 'soon']",2.200000047683716,2,2122,2009,113,12769
140,"['slide', 'vegetable']","['slide', 'tomato']",3.0,1,628,3067,-2439,5948721
141,"['woman', 'dance']","['man', 'talk']",0.0,0,386,318,68,4624
142,"['dog', 'lick', 'baby', 'droop']","['dog', 'lick', 'baby']",2.200000047683716,3,3306,2048,1258,1582564
143,"['man', 'row', 'boat']","['man', 'slide', 'tomato']",0.4000000059604645,1,638,478,160,25600
144,"['man', 'cut', 'potato']","['man', 'slice', 'potato']",4.800000190734863,2,2124,5407,-3283,10778089
145,"['woman', 'chop', 'garlic']","['woman', 'dine', 'garlic']",4.800000190734863,2,2105,5422,-3317,11002489
146,"['animal', 'run', 'circle']","['squirrel', 'run', 'circle']",3.799999952316284,2,2103,4300,-2197,4826809
147,"['man', 'walk', 'slowly', 'rope', 'bridge']","['boy', 'walk', 'bridge']",3.0,2,2086,2929,-843,710649
148,"['man', 'play', 'guitar']","['man', 'seat', 'room', 'play', 'guitar']",4.0,3,3377,4361,-984,968256
149,"['man', 'play', 'flute']","['man', 'play', 'flute']",5.0,3,3376,5727,-2351,5527201
150,"['woman', 'crack', 'egg', 'glass', 'bowl']","['woman', 'crack', 'egg', 'bowl']",3.799999952316284,4,3997,4240,-243,59049
151,"['man', 'cut', 'fish']","['man', 'gun', 'fish']",3.0,2,2094,2950,-856,732736
152,"['man', 'pack', 'suitcase', 'trunk', 'car']","['man', 'put', 'suitcase', 'car', 'trunk']",4.400000095367432,4,4003,4991,-988,976144
153,"['man', 'hour', 'oil', 'tomato']","['man', 'pour', 'oil', 'cut', 'potato']",3.799999952316284,2,2096,4324,-2228,4963984
154,"['man', 'slide']","['man', 'slide']",3.0,2,2098,3015,-917,840889
155,"['man', 'waddle', 'canoe']","['man', 'play', 'harp']",0.6669999957084656,1,532,729,-197,38809
156,"['man', 'woman', 'walk', 'wood']","['man', 'woman', 'walk', 'arm', 'arm', 'wooded', 'area']",4.0,3,3366,4581,-1215,1476225
157,"['woman', 'pick', 'kangaroo']","['woman', 'pick', 'baby', 'kangaroo']",3.75,3,3365,4050,-685,469225
158,"['wish', 'swim']","['fish', 'swim']",4.132999897003174,1,527,4703,-4176,17438976
159,"['woman', 'mix', 'food', 'processor']","['woman', 'slender']",4.0,1,560,4663,-4103,16834609
160,"['person', 'surge', 'large', 'wave']","['person', 'surge']",3.5999999046325684,2,2101,3784,-1683,2832489
161,"['man', 'play', 'guitar']","['man', 'stab', 'target']",1.2000000476837158,1,587,1209,-622,386884
162,"['man', 'play', 'flute', 'band']","['man', 'play', 'guitar']",1.600000023841858,2,2102,1498,604,364816
163,"['man', 'spread', 'butter', 'loaf', 'bread']","['man', 'spread', 'butter', 'bread']",4.0,4,4008,4383,-375,140625
164,"['person', 'boil', 'nodule']","['woman', 'boil', 'nodule', 'water']",4.0,2,2211,4379,-2168,4700224
165,"['group', 'people', 'dance', 'hill']","['group', 'people', 'dance']",3.200000047683716,3,3379,3178,201,40401
166,"['man', 'dance', 'outside']","['man', 'play', 'flute']",1.0,1,581,1029,-448,200704
167,"['woman', 'feed', 'man']","['woman', 'mix', 'meat']",1.0,1,580,1030,-450,202500
168,"['man', 'put', 'pan', 'oven']","['woman', 'cut', 'onion']",0.6000000238418579,0,401,706,-305,93025
169,"['woman', 'sit', 'desk']","['woman', 'ride', 'donkey']",0.4000000059604645,1,578,467,111,12321
170,"['relics', 'transport', 'patient', 'stretcher']","['doctor', 'rush', 'patient', 'stretcher']",3.400000095367432,2,2322,3560,-1238,1532644
171,"['woman', 'play', 'flute', 'stage']","['woman', 'play', 'flute']",3.5999999046325684,3,3404,3761,-357,127449
172,"['baby', 'hand', 'play']","['hand', 'lay']",3.0,1,568,2861,-2293,5257849
173,"['baby', 'laugh']","['baby', 'laugh', 'tingling']",4.0,2,2325,4626,-2301,5294601
174,"['man', 'play', 'guitar']","['boy', 'play', 'piano']",1.2000000476837158,1,561,1208,-647,418609
175,"['man', 'fold', 'paper']","['woman', 'slide', 'pepper']",0.6000000238418579,0,400,704,-304,92416
176,"['woman', 'dance']","['man', 'dance']",1.600000023841858,1,1361,1497,-136,18496
177,"['cat', 'play']","['cat', 'fight']",2.5999999046325684,1,1325,2471,-1146,1313316
178,"['person', 'write']","['person', 'write', 'pencil']",3.5999999046325684,2,2326,3777,-1451,2105401
179,"['man', 'run']","['man', 'run', 'road']",3.5,2,2327,3705,-1378,1898884
180,"['woman', 'roll', 'dough']","['woman', 'floor', 'rolling', 'dough']",3.765000104904175,2,2329,4058,-1729,2989441
181,"['woman', 'add', 'space', 'meat']","['woman', 'add', 'sugar', 'meat']",2.75,3,3399,2564,835,697225
182,"['woman', 'add', 'oil', 'fish']","['woman', 'pour', 'water', 'fish']",2.25,2,2316,2145,171,29241
183,"['young', 'boy', 'hold', 'guitar']","['little', 'boy', 'play', 'guitar']",2.75,2,2334,2545,-211,44521
184,"['cheetah', 'run']","['cheetah', 'run', 'field']",3.799999952316284,2,2315,4086,-1771,3136441
185,"['man', 'eat', 'penza']","['man', 'eat', 'slice', 'penza']",4.800000190734863,3,3396,5436,-2040,4161600
186,"['orangutan', 'ride', 'bus']","['monkey', 'ride', 'bus']",3.5999999046325684,2,2299,3807,-1508,2274064
187,"['man', 'woman', 'talk', 'dinner']","['man', 'woman', 'ride', 'bicycle']",1.2000000476837158,2,2300,1207,1093,1194649
188,"['man', 'play', 'guitar']","['man', 'clean', 'glass', 'door']",0.4000000059604645,1,1363,570,793,628849
189,"['girl', 'singe', 'play', 'guitar']","['young', 'man', 'singe', 'play', 'guitar']",2.400000095367432,3,3388,2173,1215,1476225
190,"['girl', 'communicate', 'sign', 'language']","['young', 'girl', 'sign', 'language']",3.940999984741211,3,3387,4343,-956,913936
191,"['woman', 'weight', 'exercise']","['woman', 'hair']",0.5,1,1266,615,651,423801
192,"['man', 'get', 'inside', 'car']","['elderly', 'man', 'get', 'red', 'car']",3.75,3,3385,4005,-620,384400
193,"['big', 'green', 'ball', 'knock', 'potato']","['large', 'green', 'ball', 'hit', 'potato']",4.0,3,3384,4653,-1269,1610361
194,"['cat', 'play', 'keyboard']","['cat', 'play', 'piano']",3.0,2,2305,3005,-700,490000
195,"['dog', 'swim', 'pool']","['dog', 'swim', 'pool']",4.199999809265137,3,3206,4864,-1658,2748964
196,"['man', 'copper', 'chop', 'onion']","['man', 'machine', 'chop', 'potato']",2.0,2,2308,1932,376,141376
197,"['woman', 'slice']","['woman', 'cut']",5.0,1,1254,5605,-4351,18931201
198,"['herd', 'deer', 'cross', 'street']","['herd', 'carbon', 'cross', 'road']",3.0,2,2310,3054,-744,553536
199,"['person', 'ride', 'horse']","['man', 'ride', 'horse']",3.799999952316284,2,2311,4190,-1879,3530641
200,"['feed', 'animal']","['play', 'piano']",0.0,0,356,277,79,6241
201,"['slide', 'tortila']","['ride', 'horse']",0.0,0,352,276,76,5776
202,"['mix', 'ingredient']","['sew', 'thing']",0.25,0,351,442,-91,8281
203,"['monster', 'neck', 'dead', 'mouse']","['chicken', 'pack', 'dead', 'mouse']",4.0,2,2335,4397,-2062,4251844
204,"['woman', 'hold', 'kangaroo']","['woman', 'pick', 'kangaroo']",3.25,2,2336,3373,-1037,1075369
205,"['man', 'play', 'frog']","['cat', 'play', 'camera']",0.75,1,1287,734,553,305809
206,"['man', 'talk']","['man', 'play', 'guitar']",1.5,1,1285,1448,-163,26569
207,"['man', 'spread', 'butter', 'big', 'piece', 'bread']","['man', 'smear', 'butter', 'slice', 'garlic', 'bread']",3.5,3,3323,3731,-408,166464
208,"['man', 'run', 'high', 'wire']","['man', 'run', 'rope']",3.0,2,2361,3053,-692,478864
209,"['man', 'mow', 'lawn']","['woman', 'cut', 'lemon']",0.2000000029802322,0,346,399,-53,2809
210,"['man', 'open', 'door']","['man', 'play', 'guitar']",0.800000011920929,1,1314,830,484,234256
211,"['man', 'slide', 'potato', 'piece']","['man', 'cut', 'potato']",4.199999809265137,2,2362,4823,-2461,6056521
212,"['woman', 'cut', 'cook', 'octopus']","['woman', 'chop', 'octopus']",3.799999952316284,2,2366,4189,-1823,3323329
213,"['man', 'munch', 'board']","['dog', 'run', 'water']",0.4000000059604645,0,343,527,-184,33856
214,"['man', 'dance']","['man', 'eat', 'bread']",0.800000011920929,1,1321,799,522,272484
215,"['play', 'piano']","['man', 'play', 'guitar']",1.2000000476837158,1,1359,1204,155,24025
216,"['fox', 'eat', 'plate', 'brick', 'ratio']","['box', 'eat', 'plate']",2.799999952316284,2,2369,2700,-331,109561
217,"['boy', 'play', 'key', 'board']","['boy', 'play', 'piano']",3.200000047683716,2,2371,3230,-859,737881
218,"['person', 'play', 'keyboard']","['play', 'keyboard']",5.0,2,2372,5575,-3203,10259209
219,"['man', 'shoot', 'gun']","['man', 'spit']",0.0,1,1297,304,993,986049
220,"['slide', 'onion']","['peel', 'potato']",1.0,0,387,902,-515,265225
221,"['man', 'swim']","['woman', 'slide', 'meat']",0.0,0,373,303,70,4900
222,"['man', 'play', 'guitar']","['man', 'play', 'caustic', 'guitar']",3.75,3,3316,4055,-739,546121
223,"['woman', 'slide', 'pushkin']","['woman', 'ride', 'elephant']",0.4000000059604645,1,1317,540,777,603729
224,"['woman', 'dance']","['woman', 'knead', 'dough']",0.4000000059604645,1,1313,541,772,595984
225,"['woman', 'crack', 'egg', 'bowl']","['woman', 'place', 'skewer', 'rack']",0.6000000238418579,1,1306,681,625,390625
226,"['car', 'move', 'road']","['car', 'drive', 'road']",4.0,2,2374,4686,-2312,5345344
227,"['dress', 'pan']",['lay'],0.4000000059604645,0,366,564,-198,39204
228,"['man', 'play', 'guitar']","['man', 'drain', 'past']",0.4000000059604645,1,1272,563,709,502681
229,"['woman', 'drink', 'vodka']","['woman', 'exercise']",0.4000000059604645,1,1356,559,797,635209
230,"['woman', 'cut', 'meat', 'piece']","['woman', 'cut', 'meat']",4.800000190734863,3,3312,5415,-2103,4422609
231,"['man', 'rinse', 'speak']","['man', 'play', 'guitar']",0.6000000238418579,1,1337,663,674,454276
232,"['man', 'sell', 'item']","['man', 'clean', 'house']",0.800000011920929,1,1349,823,526,276676
233,"['man', 'jump', 'wall']","['man', 'jump', 'short', 'wall']",3.200000047683716,3,3310,3260,50,2500
234,"['runner', 'race', 'track']","['runner', 'compete', 'race']",3.200000047683716,2,2356,3263,-907,822649
235,"['man', 'kick', 'soccer', 'ball']","['man', 'mix', 'bowl']",0.6000000238418579,1,1051,676,375,140625
236,"['woman', 'try']","['woman', 'ride', 'horse']",0.6000000238418579,1,1053,672,381,145161
237,"['cat', 'lick', 'suck']","['woman', 'slide', 'cucumber']",0.0,0,377,292,85,7225
238,"['woman', 'dance', 'fire']","['woman', 'take', 'bath']",1.399999976158142,1,1060,1346,-286,81796
239,"['man', 'slide', 'fish', 'open']","['man', 'slide', 'potato']",2.200000047683716,2,2355,1985,370,136900
240,"['utter', 'melt', 'pan']","['man', 'melt', 'butter', 'pan']",3.5999999046325684,2,2338,3806,-1468,2155024
241,"['boy', 'dance']","['lid', 'dance']",3.111000061035156,1,1058,3076,-2018,4072324
242,"['woman', 'play', 'game', 'man']","['man', 'play', 'piano']",0.6000000238418579,2,2339,697,1642,2696164
243,"['man', 'drive', 'white', 'car']","['man', 'give', 'interview']",0.4000000059604645,1,1029,557,472,222784
244,"['man', 'drive', 'car']","['man', 'drive', 'car']",4.25,3,3331,4909,-1578,2490084
245,"['car', 'back', 'space']","['car', 'back', 'blocked', 'lane']",3.0,2,2345,2854,-509,259081
246,"['man', 'put', 'cheese', 'penza']","['man', 'sprinkle', 'cheese', 'penza']",5.0,3,3351,5654,-2303,5303809
247,"['boy', 'play', 'piano']","['boy', 'play', 'piano']",5.0,3,3349,5647,-2298,5280804
248,"['man', 'play', 'guitar']","['man', 'play', 'guitar']",3.75,3,3345,4038,-693,480249
249,"['man', 'ride', 'horse']","['man', 'play', 'keyboard']",0.2000000029802322,1,979,379,600,360000
250,"['man', 'walk', 'rope']","['man', 'ride', 'mo', 'pad']",0.4000000059604645,1,1243,534,709,502681
251,"['girl', 'play', 'flute']","['band', 'play', 'stage']",1.2860000133514404,1,964,1260,-296,87616
252,"['people', 'step', 'train']","['group', 'people', 'train']",4.599999904632568,2,2251,5161,-2910,8468100
